variable	area	n_ti	median_x	q25	q75
Year of discovery	cardiovascular	41	2017	2015	2020
Year of discovery	congenital	24	2018	2010.75	2018
Year of discovery	dermatology	57	2016	2012	2018
Year of discovery	digestive	45	2012	2010	2017
Year of discovery	endocrine	24	2019	2017	2020
Year of discovery	hematology	35	2016	2016	2020
Year of discovery	immune	82	2018	2013	2019
Year of discovery	infection	6	2020	2020	2020.75
Year of discovery	metabolic	90	2018	2012	2020
Year of discovery	musculoskeletal	31	2012	2009.5	2013.5
Year of discovery	neurology	34	2019	2017.25	2019.75
Year of discovery	oncology	56	2015	2012	2019
Year of discovery	ophthalmology	14	2015.5	2011.25	2018
Year of discovery	other	13	2021	2020	2021
Year of discovery	psychiatry	46	2019	2017	2020
Year of discovery	respiratory	43	2018	2015.5	2019
Year of discovery	signs/symptoms	45	2018	2015	2020
Year of discovery	Total	686			
Gene count	cardiovascular	42	177.5	30.5	1365
Gene count	congenital	34	130.5	11.75	360
Gene count	dermatology	58	121.5	69	126
Gene count	digestive	45	178	164	181
Gene count	endocrine	30	612	539	612
Gene count	hematology	46	695	630	1516
Gene count	immune	83	140	126	917
Gene count	infection	6	70.5	9.25	339.5
Gene count	metabolic	115	488	360	612
Gene count	musculoskeletal	31	126	70	126
Gene count	neurology	49	90	39	197
Gene count	oncology	59	76	21	194
Gene count	ophthalmology	16	126	121	214
Gene count	other	13	178	25	582
Gene count	psychiatry	51	135	91	197
Gene count	respiratory	43	1103	615.5	1103
Gene count	signs/symptoms	49	410	144	1499
Gene count	Total	770			
Beta	cardiovascular	24	0.0914	0.043875	0.269125
Beta	congenital	18	0.07175	0.023125	0.0879857
Beta	dermatology	13	0.115858	0.0917533	0.196
Beta	digestive	14	0.0996585	0.0283497075	0.143436725
Beta	endocrine	22	0.0511682	0.0295	0.074
Beta	hematology	39	0.04031984	0.01735	0.092924355
Beta	immune	38	0.07904325	0.0283497075	0.1230239
Beta	infection	4	0.0512951	0.018173425	0.0964
Beta	metabolic	103	0.04	0.02404255	0.0767204
Beta	musculoskeletal	14	0.08	0.0788456	0.109831825
Beta	neurology	29	0.2774	0.0604	0.846
Beta	oncology	11	0.38	0.1523	5.795
Beta	ophthalmology	7	0.0788456	0.0555677353979	0.10380565
Beta	other	9	0.0194	0.0148957999999999	0.0257
Beta	psychiatry	42	0.06825	0.0136884655719535	0.354925
Beta	respiratory	33	0.038	0.0243	0.1230239
Beta	signs/symptoms	41	0.05	0.0198902	0.1449
Beta	Total	461			
Odds ratio	cardiovascular	24	1.03857434513651	1.01137283451023	1.0625
Odds ratio	congenital	9	1.08209610704895	1.04870230519382	1.09746173526808
Odds ratio	dermatology	27	1.0989010989011	1.075	1.12679775280899
Odds ratio	digestive	25	1.1011125744825	1.08585261644003	1.118
Odds ratio	endocrine	15	1.06	1.0530590414708	1.10152701735554
Odds ratio	immune	42	1.1055556	1.08	1.139
Odds ratio	infection	1	1.06391021185041	1.06391021185041	1.06391021185041
Odds ratio	metabolic	41	1.04870230519382	1.01383513176322	1.0989010989011
Odds ratio	musculoskeletal	19	1.1	1.00833622781402	1.13
Odds ratio	neurology	20	1.0843	1.05263157894737	1.11710803082766
Odds ratio	oncology	30	1.085	1.06268373927095	1.145
Odds ratio	ophthalmology	6	1.135	1.105	1.15
Odds ratio	psychiatry	15	1.0767	1.06331578947368	1.09309735
Odds ratio	respiratory	22	1.1235955	1.0557275529626	1.1627907
Odds ratio	signs/symptoms	9	1.074	1.05263157894737	1.18
Odds ratio	Total	305			
Minor allele frequency	cardiovascular	22	0.156085026999327	0.0876115801336942	0.394892997441013
Minor allele frequency	congenital	30	0.22591180214909	0.119378300844657	0.35992891185374
Minor allele frequency	dermatology	38	0.175755441791143	0.0643783476632995	0.267289679186609
Minor allele frequency	digestive	38	0.323377309768053	0.227671505561717	0.378852466965242
Minor allele frequency	endocrine	21	0.251461228731004	0.100737910133087	0.337861233186842
Minor allele frequency	hematology	39	0.279495841995842	0.0387451687737524	0.380057931739478
Minor allele frequency	immune	57	0.287108104592169	0.190652626105044	0.416070266753416
Minor allele frequency	infection	5	0.273063448812768	0.271917273673257	0.322486014463092
Minor allele frequency	metabolic	91	0.22279859940345	0.131958021442124	0.398773569218897
Minor allele frequency	musculoskeletal	19	0.2454840805718	0.108205532042703	0.360476205760859
Minor allele frequency	neurology	35	0.378400215459197	0.245290372872548	0.458038288817933
Minor allele frequency	oncology	44	0.25953802232027	0.0921999738254155	0.329024370890569
Minor allele frequency	ophthalmology	12	0.356920230930002	0.241285111810711	0.477006482283514
Minor allele frequency	other	9	0.319251267385935	0.251397737615395	0.327183833116036
Minor allele frequency	psychiatry	42	0.386739388342506	0.245290372872548	0.449621093603061
Minor allele frequency	respiratory	37	0.300715214564369	0.237751786874594	0.414477107180021
Minor allele frequency	signs/symptoms	44	0.272490361243013	0.163523233696391	0.406263497284921
Minor allele frequency	Total	583			
