bin_n_possible_gensup_ti	n_targets	n_developed_gensup_ti_mean	n_developed_gensup_ti_sd	n_developed_gensup_ti_l95	n_developed_gensup_ti_u95	n_developed_nosup_ti_mean	n_developed_nosup_ti_sd	n_developed_nosup_ti_l95	n_developed_nosup_ti_u95
1	303	0.1716171617161716	0.3776710944704929	0.12909175225788164	0.2141425711744616	9.115511551155116	11.193801071848847	7.855100095408379	10.375923006901854
2	184	0.22282608695652173	0.45487120878718135	0.15710032815083957	0.2885518457622039	9.91304347826087	11.983734125171452	8.181476380834505	11.644610575687233
3	143	0.4405594405594406	0.6567351774291706	0.3329182897755569	0.5482005913433242	9.867132867132867	12.482234001384551	7.82125185079632	11.913013883469414
4	110	0.38181818181818183	0.7036186699441052	0.25032686235643836	0.5133095012799254	11.7	14.058560355386858	9.072754973927532	14.327245026072466
5	76	0.5	0.8717797887081347	0.30400000000000005	0.696	9.776315789473685	10.91982745188528	7.321239165431801	12.231392413515568
6	60	0.6333333333333333	1.0730388759865743	0.3618170358267636	0.904849630839903	9.966666666666667	10.471861678118639	7.316920068968113	12.616413264365221
7	34	0.9705882352941176	1.3367825261730646	0.5212458640055753	1.41993060658266	11.029411764705882	12.508143514884546	6.824959090204074	15.23386443920769
8	38	0.9736842105263158	1.4423487246597955	0.5150836851606241	1.4322847358920074	10.657894736842104	12.300903758908023	6.74677336247502	14.569016111209189
9	43	1.0232558139534884	1.5195295652496446	0.569072684847246	1.4774389430597308	14.13953488372093	17.850678785745078	8.804017014907277	19.475052752534584
10+	156	2.121794871794872	2.8496586070976626	1.6746105115001335	2.5689792320896103	14.602564102564102	18.196305717646588	11.747098078737197	17.45803012639101
