area	gene	indication_mesh_id	indication_mesh_term	gene_count
other	ACVR2A	D007676	Kidney Failure, Chronic	178
other	APOL1	D005923	Glomerulosclerosis, Focal Segmental	1
other	APOL1	D007676	Kidney Failure, Chronic	25
other	APOL1	D051437	Renal Insufficiency	25
other	DNMT3B	D058186	Acute Kidney Injury	582
other	DPEP1	D058186	Acute Kidney Injury	582
other	EGFR	D007676	Kidney Failure, Chronic	178
other	KCNJ1	D051437	Renal Insufficiency	178
other	NFE2L2	D007676	Kidney Failure, Chronic	582
other	NFE2L2	D051437	Renal Insufficiency	582
other	NFKB1	D005923	Glomerulosclerosis, Focal Segmental	5
other	PGR	D008593	Menopause	93
other	SLC9A3	D007676	Kidney Failure, Chronic	582
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	126
musculoskeletal	CD28	D012859	Sjogren's Syndrome	126
musculoskeletal	CD28	D015535	Arthritis, Psoriatic	117
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	126
musculoskeletal	CD40	D012859	Sjogren's Syndrome	126
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	126
musculoskeletal	DPP4	D001172	Arthritis, Rheumatoid	126
musculoskeletal	ESR1	D010024	Osteoporosis	70
musculoskeletal	HLA-DRB1	D001172	Arthritis, Rheumatoid	126
musculoskeletal	ICOSLG	D001172	Arthritis, Rheumatoid	126
musculoskeletal	ICOSLG	D012859	Sjogren's Syndrome	126
musculoskeletal	IL12B	D013167	Spondylitis, Ankylosing	29
musculoskeletal	IL12B	D015535	Arthritis, Psoriatic	12
musculoskeletal	IL12RB2	D001172	Arthritis, Rheumatoid	126
musculoskeletal	IL23R	D015535	Arthritis, Psoriatic	29
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	126
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	126
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	126
musculoskeletal	IL6R	D013167	Spondylitis, Ankylosing	29
musculoskeletal	JAK2	D015535	Arthritis, Psoriatic	117
musculoskeletal	PPARG	D006073	Gout	472
musculoskeletal	PRKCB	D001172	Arthritis, Rheumatoid	126
musculoskeletal	SLC22A12	D006073	Gout	472
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	70
musculoskeletal	SOST	D010024	Osteoporosis	70
musculoskeletal	TGFB1	D010003	Osteoarthritis	81
musculoskeletal	TNFRSF1A	D013167	Spondylitis, Ankylosing	29
musculoskeletal	TNFRSF1A	D015535	Arthritis, Psoriatic	29
musculoskeletal	TYK2	D001172	Arthritis, Rheumatoid	126
musculoskeletal	TYK2	D012859	Sjogren's Syndrome	126
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	117
ophthalmology	APP	D013494	Supranuclear Palsy, Progressive	90
ophthalmology	CD28	D012859	Sjogren's Syndrome	126
ophthalmology	CD40	D012859	Sjogren's Syndrome	126
ophthalmology	FLT1	D009216	Myopia	197
ophthalmology	ICOSLG	D012859	Sjogren's Syndrome	126
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	126
ophthalmology	LOXL2	D005901	Glaucoma	265
ophthalmology	MAPT	D013494	Supranuclear Palsy, Progressive	7
ophthalmology	MC1R	D000417	Albinism	11
ophthalmology	PDGFRA	D008269	Macular Edema	121
ophthalmology	PTPN1	D005901	Glaucoma	265
ophthalmology	TGFB2	D005901	Glaucoma	265
ophthalmology	TYK2	D012859	Sjogren's Syndrome	126
ophthalmology	VEGFA	D008269	Macular Edema	121
ophthalmology	VEGFA	D009216	Myopia	373
ophthalmology	VEGFA	D012174	Retinitis Pigmentosa	121
dermatology	C3	D008181	Lupus Nephritis	141
dermatology	CBS	D006712	Homocystinuria	5
dermatology	CD200R1	D003876	Dermatitis, Atopic	140
dermatology	CD28	D001172	Arthritis, Rheumatoid	126
dermatology	CD28	D011565	Psoriasis	117
dermatology	CD28	D012859	Sjogren's Syndrome	126
