threshold	rs	rs_l95	rs_u95	approved	supported
0.1	1.0960460899573023	0.9695064373490384	1.2391016552664693	1241	10455
0.15000000000000002	1.0965779509547136	0.9699747296308099	1.2397057013822672	1241	10454
0.2	1.130379746835443	1.0110280632144741	1.26382087554844	1159	9638
0.25	1.44934318833484	1.3175647511988506	1.5943016657521156	853	6109
0.30000000000000004	1.570888785582235	1.429168630983547	1.7266622868497863	805	5441
0.35	1.6170356883699453	1.471654285488708	1.7767789916731271	769	5053
0.4	1.5798987771906834	1.4377084736124885	1.7361517943180709	691	4501
0.45000000000000007	1.6411472697186984	1.4911693033153002	1.8062096335520126	589	3626
0.5	1.8285960578411276	1.657217483242662	2.0176974818111386	500	2755
0.55	1.8445368245751654	1.662438246006765	2.0465819439526953	404	2138
0.6	2.0223494324963536	1.8131375582792344	2.255701564640168	337	1609
0.65	2.1880174397775094	1.9569657395664624	2.4463485588823395	309	1361
0.7000000000000001	2.3519129287598943	2.09696488372425	2.6378574421541594	279	1137
0.75	2.467704353165939	2.1871743913820256	2.7842154693418246	239	916
0.8	2.632249664641364	2.309212567847914	3.000476609852274	189	667
0.85	2.6967461714648526	2.3496162217149528	3.095160752679127	165	563
0.9	2.833607810936734	2.4543438384519902	3.2714785517851284	146	471
0.9500000000000001	2.8894962905115187	2.497731910229779	3.342708150015885	140	442
1	2.8746883727266535	2.477781226666431	3.3351746923225534	134	424
