gene	n_launched_indic	meansim	n_launched_indic_2000	meansim_2000
ABAT	1	1	1	1
ABCB1	4	0.49933333333333335	4	0.49933333333333335
ABCC8	2	0.738	2	0.738
ABCC9	3	0.5433333333333333	2	0.959
ABCD1	1	1	1	1
ABL1	10	0.3284222222222222	3	0.7613333333333333
ACE	4	0.3401666666666667	3	0.47300000000000003
ACHE	12	0.1963181818181818	8	0.18221428571428572
ACPP	1	1		
ACR	2	0	2	0
ACVR1	1	1	1	1
ACVRL1	2	0.45	2	0.45
ADA	5	0.4083	1	1
ADORA1	3	0.44466666666666665		
ADORA2A	2	0.218		
ADRA1A	15	0.2762857142857143	9	0.15938888888888889
ADRA1B	1	1	1	1
ADRA1D	2	0.032	2	0.032
ADRA2A	8	0.18753571428571428	7	0.17061904761904761
ADRA2B	4	0.158	3	0.08800000000000001
ADRA2C	3	0.17833333333333334	2	0.033
ADRB1	10	0.5006444444444444	7	0.4063809523809524
ADRB2	9	0.32158333333333333	7	0.3163809523809524
ADRB3	2	0.857	2	0.857
AGT	4	0.15916666666666668	4	0.15916666666666668
AGTR1	7	0.3183809523809524	3	0.27566666666666667
AHR	1	1	1	1
ALAS1	1	1	1	1
ALDH1A1	1	1	1	1
ALK	3	0.43533333333333335	3	0.43533333333333335
ALOX5	2	0.807	2	0.807
ALPL	1	1	1	1
AMY2A	1	1	1	1
ANGPT2	2	0.701	2	0.701
ANGPTL3	1	1	1	1
ANO1	1	1		
ANPEP	19	0.5090292397660818	19	0.5090292397660818
ANTXR1	1	1	1	1
APOB	1	1	1	1
APOC3	3	0.7266666666666667	3	0.7266666666666667
APP	1	1	1	1
AR	15	0.1544952380952381	11	0.13570909090909092
ARHGEF2	1	1	1	1
ARSB	1	1		
ATP1A1	2	0.2	1	1
ATP4A	8	0.4768928571428571	7	0.42847619047619045
AVPR1A	6	0.25506666666666666	3	0.396
AVPR1B	4	0.2836666666666667	2	0.528
AVPR2	10	0.2828	4	0.33016666666666666
AXL	4	0.489	4	0.489
BBOX1	2	0.227		
BCHE	2	0.839	2	0.839
BCKDK	1	1	1	1
BCL2	20	0.4955052631578947	2	0.704
BCR	10	0.3284222222222222	3	0.7613333333333333
BDKRB2	2	0.973		
BRAF	12	0.4865757575757576	12	0.4865757575757576
BSG	1	1	1	1
BTK	10	0.5745111111111111	10	0.5745111111111111
C1S	1	1	1	1
C3	3	0.375	3	0.375
C5	5	0.3158	3	0.4003333333333333
C5AR1	3	0.543	3	0.543
CA2	2	0.195	1	1
CACNA1B	4	0.612		
CACNA1C	11	0.4102	2	0.52
CACNA1G	4	0.529		
