area	gene	indication_mesh_id	indication_mesh_term	gwas_source
other	ACVR2A	D007676	Kidney Failure, Chronic	GWAS Catalog
other	APOL1	D005923	Glomerulosclerosis, Focal Segmental	GWAS Catalog
other	APOL1	D007676	Kidney Failure, Chronic	GWAS Catalog
other	APOL1	D051437	Renal Insufficiency	GWAS Catalog
other	DNMT3B	D058186	Acute Kidney Injury	GWAS Catalog
other	DPEP1	D058186	Acute Kidney Injury	GWAS Catalog
other	EGFR	D007676	Kidney Failure, Chronic	GWAS Catalog
other	KCNJ1	D051437	Renal Insufficiency	GWAS Catalog
other	NFE2L2	D007676	Kidney Failure, Chronic	GWAS Catalog
other	NFE2L2	D051437	Renal Insufficiency	GWAS Catalog
other	NFKB1	D005923	Glomerulosclerosis, Focal Segmental	GWAS Catalog
other	PGR	D008593	Menopause	GWAS Catalog
other	SLC9A3	D007676	Kidney Failure, Chronic	GWAS Catalog
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	CD28	D012859	Sjogren's Syndrome	GWAS Catalog
musculoskeletal	CD28	D015535	Arthritis, Psoriatic	GWAS Catalog
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	CD40	D012859	Sjogren's Syndrome	GWAS Catalog
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	DPP4	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	ESR1	D010024	Osteoporosis	GWAS Catalog
musculoskeletal	HLA-DRB1	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	ICOSLG	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	ICOSLG	D012859	Sjogren's Syndrome	GWAS Catalog
musculoskeletal	IL12B	D013167	Spondylitis, Ankylosing	GWAS Catalog
musculoskeletal	IL12B	D015535	Arthritis, Psoriatic	GWAS Catalog
musculoskeletal	IL12RB2	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	IL23R	D015535	Arthritis, Psoriatic	GWAS Catalog
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	GWAS Catalog
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	IL6R	D013167	Spondylitis, Ankylosing	GWAS Catalog
musculoskeletal	JAK2	D015535	Arthritis, Psoriatic	GWAS Catalog
musculoskeletal	PPARG	D006073	Gout	GWAS Catalog
musculoskeletal	PRKCB	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	SLC22A12	D006073	Gout	GWAS Catalog
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	GWAS Catalog
musculoskeletal	SOST	D010024	Osteoporosis	GWAS Catalog
musculoskeletal	TGFB1	D010003	Osteoarthritis	GWAS Catalog
musculoskeletal	TNFRSF1A	D013167	Spondylitis, Ankylosing	GWAS Catalog
musculoskeletal	TNFRSF1A	D015535	Arthritis, Psoriatic	GWAS Catalog
musculoskeletal	TYK2	D001172	Arthritis, Rheumatoid	GWAS Catalog
musculoskeletal	TYK2	D012859	Sjogren's Syndrome	GWAS Catalog
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	GWAS Catalog
musculoskeletal	IL12B	D013167	Spondylitis, Ankylosing	Neale UKBB
musculoskeletal	IL12B	D015535	Arthritis, Psoriatic	Neale UKBB
musculoskeletal	SLC22A12	D006073	Gout	Neale UKBB
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	FinnGen
musculoskeletal	IL12B	D013167	Spondylitis, Ankylosing	FinnGen
musculoskeletal	IL12B	D015535	Arthritis, Psoriatic	FinnGen
ophthalmology	APP	D013494	Supranuclear Palsy, Progressive	GWAS Catalog
ophthalmology	CD28	D012859	Sjogren's Syndrome	GWAS Catalog
ophthalmology	CD40	D012859	Sjogren's Syndrome	GWAS Catalog
ophthalmology	FLT1	D009216	Myopia	GWAS Catalog
