data_subset	areas	area_filter	assoc_source	intogen_mechanism	rs	rs_l95	rs_u95	gensup_approved	gensup_total	unsupported_approved	unsupported_total
All indications	All	All	intOGen	All	1.6328055642934536	1.3220653097781696	2.0165826839787533	74	396	1445	12626
oncology	C04	only	intOGen	All	2.251767676767677	1.8023972986039276	2.81317425079537	74	396	480	5784
    oncogenes	C04	only	intOGen	oncogene	1.5916971566587752	1.2337306363386813	2.0535275398803816	65	263	159	1024
    tumor suppressors	C04	only	intOGen	tumor suppressor	1.1737891737891737	0.3721832108672396	3.7018892423821215	4	78	9	206
    unknown	C04	only	intOGen	unknown	1.2372093023255815	0.4088029411936279	3.744314689350408	4	43	10	133
non-oncology	C04	non	intOGen	All				0	0	965	6842
oncology	C04	only	OMIM	All	5.619307832422586	3.008050284137561	10.497371231471673	5	10	549	6170
    oncogenes	C04	only	OMIM	oncogene	3.3246753246753245	1.7309162012074661	6.385904763497049	4	7	220	1280
    tumor suppressors	C04	only	OMIM	tumor suppressor				0	1	13	283
    unknown	C04	only	OMIM	unknown	6.692307692307692	1.5214940575330247	29.43618611375916	1	2	13	174
non-oncology	C04	non	OMIM	All	3.0391830391830394	2.5237382562201054	3.659901546007349	74	182	891	6660
oncology	C04	only	GWAS	All	1.9900151942695898	1.1834593524225654	3.3462581248078394	12	68	542	6112
    oncogenes	C04	only	GWAS	oncogene	1.7727910238429174	0.9445313297237529	3.327351793759124	7	23	217	1264
    tumor suppressors	C04	only	GWAS	tumor suppressor	2.283333333333333	0.32813969946927984	15.888388754982705	1	10	12	274
    unknown	C04	only	GWAS	unknown	2.1794871794871793	0.3379665425424242	14.055131995655168	1	6	13	170
non-oncology	C04	non	GWAS	All	2.0172496853097948	1.7112957194671774	2.3779036238981925	122	458	843	6384
