area	color	n_ti	rs	rs_l95	rs_u95	nosup_clinical	nosup_launched	gensup_clinical	gensup_launched	ps	ps_l95	ps_u95	pg	pg_l95	pg_u95	possible_supported_gene_indication_pairs	mean_similarity_of_launched_indications	mean_launched_indications_per_target	mean_similarity_since_2000_only	mean_indications_per_target_since_2000_only	n_launched_ti	n_gensup_ti
hematology	#CAB2D6	432	3.9387096774193546	2.7819513571028556	5.576457648473292	370	50	62	33	0.16116504854368932	0.1319367796522361	0.19541072878846746	0.18446601941747573	0.15334640850036965	0.22025800480401045	27095	0.43003538295878563	9.662650602409638	0.4442479104255045	8.349397590361447	84	109
metabolic	#FFB90F	621	3.756097560975609	2.6057775177676215	5.414226192132289	462	41	159	53	0.13146853146853146	0.10865738900270476	0.15821850757596845	0.2965034965034965	0.2641862661859487	0.33099568050170586	20087	0.5878939843371759	4.723404255319149	0.6568269750536884	3.8297872340425534	100	294
respiratory	#E31A1C	722	3.0404797601199403	1.7627772566951916	5.244291152831407	676	58	46	12	0.08838383838383838	0.07054991916078089	0.11019142979312185	0.07323232323232323	0.057075734804388385	0.09350885398830833	4598	0.3928039066057196	13.371428571428572	0.43087183026681414	10.471428571428572	76	77
endocrine	#33A02C	441	3.0308139534883725	1.7867912544635989	5.140966074079783	401	43	40	13	0.11267605633802817	0.08779590410324671	0.14349776534149158	0.10663983903420524	0.08245751141921989	0.13685631910777407	4292	0.5331362934264865	8.446428571428571	0.5369291836754118	6.982142857142857	56	82
infection	#EE7600	427	2.727272727272727	0.8179920492492958	9.093018123772456	420	44	7	2	0.09725158562367865	0.0737043989892779	0.1272878953001606	0.019027484143763214	0.010042078410805549	0.03576236752540054	1318	0.294317392729065	17.5	0.33651587194090965	14.065217391304348	77	12
congenital	#8B7E66	541	2.721073531425442	1.9938030388262478	3.7136271834468686	432	67	109	46	0.172782874617737	0.1457405330578179	0.2036467786399407	0.23700305810397554	0.2060068596399758	0.2710707927526152	19879	0.5075678424469742	6.433628318584071	0.5713554696664104	5.3628318584070795	117	195
neurology	#B15928	1307	2.5110906298003073	1.836183541657515	3.4340663708263537	1202	155	105	34	0.12633689839572193	0.11045305499395774	0.14413482599509764	0.0929144385026738	0.07922778845653328	0.10868637884639112	12208	0.464283199046151	9.010582010582011	0.5004276983969067	7.164021164021164	222	191
cardiovascular	#B2DF8A	769	2.473544973544974	1.5965573179912618	3.83226124562043	715	91	54	17	0.12314709236031927	0.10302770203434926	0.1465534872014829	0.08095781071835804	0.06467941565290972	0.10089119567589007	5544	0.37575721704911264	10.5	0.3860746182658485	8.203703703703704	126	113
oncology	#66A61E	6180	2.3885736646448836	1.5340535580916654	3.719090589335328	6104	538	76	16	0.08226908226908226	0.07594201846091991	0.0890724695788887	0.013662013662013662	0.011153681457678158	0.016724899534278206	11327	0.46927006967372187	14.276173285198556	0.4911887469193959	12.673285198555957	615	127
digestive	#FDBF6F	690	2.2642857142857147	1.2161791530828336	4.215653411688739	634	50	56	10	0.08	0.06265603433346555	0.10162447501186962	0.088	0.06976774076153562	0.11043123507245982	5342	0.3550324180406228	14.683333333333334	0.403564533867835	11.166666666666666	70	109
psychiatry	#9959E1	753	2.0345123626373627	1.3175172834555384	3.141697346746001	697	104	56	17	0.13844393592677345	0.11712494258497372	0.16292728820276028	0.08352402745995423	0.06695369410444595	0.10373938186623499	7600	0.3695424716455503	11.702479338842975	0.38712773923191496	8.512396694214877	126	99
immune	#FF7F00	949	1.7586909614001438	1.1044266791713109	2.8005425403444084	863	97	86	17	0.10724365004703669	0.0900367261253524	0.12727903049791933	0.09689557855126998	0.08053697422013109	0.11615716161956216	8632	0.4029230438582538	11.543859649122806	0.4291590164056699	9.37719298245614	140	164
signs/symptoms	#7B3F00	792	1.74518542097724	1.0858327473224068	2.804918309106017	731	103	61	15	0.12967032967032968	0.10939064867594361	0.15306347452635438	0.08351648351648351	0.0672445271894977	0.10328993184216677	10551	0.3815305143449602	11.35593220338983	0.4148504514158187	8.26271186440678	213	133
dermatology	#FB9A99	1059	1.3605291005291007	0.8129446385221689	2.2769563210989134	989	135	70	13	0.12261806130903065	0.10530192994970297	0.14232872114538456	0.0687655343827672	0.0558147101872795	0.08445258705749124	8517	0.40066056974713066	10.006756756756756	0.45145351328685307	8.14864864864865	153	113
ophthalmology	#6A3D9A	478	1.2923976608187133	0.5986540249217371	2.7900784829903076	442	57	36	6	0.11645101663585952	0.09208590437820738	0.14622462929838753	0.07763401109057301	0.057946107791896836	0.10327778110016066	7663	0.36384089704890676	15.53968253968254	0.41923915488754426	11.904761904761905	64	59
musculoskeletal	#A6CEE3	509	1.2682926829268293	0.6574959884241602	2.4465036409135097	468	72	41	8	0.13582342954159593	0.11050413107494446	0.1658622673659045	0.0831918505942275	0.06349823047982751	0.1082870880154099	3167	0.36129377140417324	12.8	0.3782520250191845	9.925	92	70
other	#BBBBBB	230	0.519047619047619	0.07756235596010713	3.4734688948536947	218	35	12	1	0.13533834586466165	0.09938514482261278	0.18167418220648435	0.04887218045112782	0.028780538895557244	0.08180831928476913	3224	0.3271167224066737	11	0.33187049726977264	8.083333333333334	75	32
