area	genelist	developed	supported	utilization
all_areas	all genes	715	33943	0.02106472615855994
all_areas	predicted Ab tractable	586	17674	0.033156048432726036
all_areas	predicted SM tractable	610	12308	0.04956126096847579
all_areas	rhodopsin-like GPCRs	46	508	0.09055118110236221
all_areas	nuclear receptors	22	245	0.08979591836734693
all_areas	enzymes	115	2266	0.050750220653133275
all_areas	ion channels	33	709	0.0465444287729196
all_areas	kinases	135	1129	0.1195748449955713
hematology	all genes	43	4785	0.008986415882967606
hematology	predicted Ab tractable	36	2403	0.0149812734082397
hematology	predicted SM tractable	38	1696	0.02240566037735849
hematology	rhodopsin-like GPCRs	2	87	0.022988505747126436
hematology	nuclear receptors	0	30	0
hematology	enzymes	9	276	0.03260869565217391
hematology	ion channels	0	58	0
hematology	kinases	4	156	0.02564102564102564
metabolic	all genes	112	6746	0.01660243107026386
metabolic	predicted Ab tractable	92	3539	0.025996044080248658
metabolic	predicted SM tractable	91	2464	0.036931818181818184
metabolic	rhodopsin-like GPCRs	8	90	0.08888888888888889
metabolic	nuclear receptors	10	51	0.19607843137254902
metabolic	enzymes	13	470	0.027659574468085105
metabolic	ion channels	2	98	0.02040816326530612
metabolic	kinases	3	185	0.016216216216216217
respiratory	all genes	24	884	0.027149321266968326
respiratory	predicted Ab tractable	23	480	0.04791666666666667
respiratory	predicted SM tractable	12	318	0.03773584905660377
respiratory	rhodopsin-like GPCRs	2	9	0.2222222222222222
respiratory	nuclear receptors	0	5	0
respiratory	enzymes	2	51	0.0392156862745098
respiratory	ion channels	1	26	0.038461538461538464
respiratory	kinases	0	13	0
endocrine	all genes	35	2676	0.013079222720478326
endocrine	predicted Ab tractable	31	1327	0.023360964581763375
endocrine	predicted SM tractable	31	922	0.033622559652928416
endocrine	rhodopsin-like GPCRs	7	53	0.1320754716981132
endocrine	nuclear receptors	2	32	0.0625
endocrine	enzymes	1	187	0.0053475935828877
endocrine	ion channels	2	53	0.03773584905660377
endocrine	kinases	3	80	0.0375
infection	all genes	3	234	0.01282051282051282
infection	predicted Ab tractable	3	138	0.021739130434782608
infection	predicted SM tractable	1	88	0.011363636363636364
infection	rhodopsin-like GPCRs	0	4	0
infection	nuclear receptors	0	2	0
infection	enzymes	0	13	0
infection	ion channels	0	7	0
infection	kinases	0	2	0
congenital	all genes	84	4291	0.01957585644371941
congenital	predicted Ab tractable	64	2334	0.027420736932305057
congenital	predicted SM tractable	60	1633	0.03674219228413962
congenital	rhodopsin-like GPCRs	2	46	0.043478260869565216
congenital	nuclear receptors	2	28	0.07142857142857142
congenital	enzymes	14	290	0.04827586206896552
congenital	ion channels	1	98	0.01020408163265306
congenital	kinases	2	110	0.01818181818181818
neurology	all genes	81	3459	0.023417172593235037
neurology	predicted Ab tractable	70	1903	0.03678402522333158
neurology	predicted SM tractable	65	1208	0.05380794701986755
neurology	rhodopsin-like GPCRs	8	53	0.1509433962264151
neurology	nuclear receptors	0	13	0
neurology	enzymes	10	198	0.050505050505050504
neurology	ion channels	14	133	0.10526315789473684
neurology	kinases	3	85	0.03529411764705882
cardiovascular	all genes	39	2681	0.01454681089145841
cardiovascular	predicted Ab tractable	37	1436	0.02576601671309192
cardiovascular	predicted SM tractable	36	952	0.037815126050420166
cardiovascular	rhodopsin-like GPCRs	3	43	0.06976744186046512
cardiovascular	nuclear receptors	1	17	0.058823529411764705
cardiovascular	enzymes	10	212	0.04716981132075472
cardiovascular	ion channels	10	97	0.10309278350515463
cardiovascular	kinases	1	90	0.011111111111111112
oncology	all genes	295	4301	0.06858870030225529
oncology	predicted Ab tractable	227	2086	0.10882070949185044
oncology	predicted SM tractable	277	1974	0.1403242147922999
oncology	rhodopsin-like GPCRs	6	37	0.16216216216216217
oncology	nuclear receptors	4	25	0.16
oncology	enzymes	62	419	0.14797136038186157
oncology	ion channels	0	56	0
oncology	kinases	109	250	0.436
digestive	all genes	38	2309	0.01645734084019056
digestive	predicted Ab tractable	30	1252	0.023961661341853034
digestive	predicted SM tractable	26	802	0.032418952618453865
digestive	rhodopsin-like GPCRs	3	47	0.06382978723404255
digestive	nuclear receptors	3	21	0.14285714285714285
digestive	enzymes	6	129	0.046511627906976744
digestive	ion channels	1	24	0.041666666666666664
digestive	kinases	4	71	0.056338028169014086
psychiatry	all genes	40	2382	0.016792611251049538
psychiatry	predicted Ab tractable	38	1300	0.02923076923076923
psychiatry	predicted SM tractable	39	786	0.04961832061068702
psychiatry	rhodopsin-like GPCRs	14	53	0.2641509433962264
psychiatry	nuclear receptors	0	18	0
psychiatry	enzymes	4	131	0.030534351145038167
psychiatry	ion channels	6	84	0.07142857142857142
psychiatry	kinases	0	74	0
signs/symptoms	all genes	47	3624	0.012969094922737307
signs/symptoms	predicted Ab tractable	41	1897	0.02161307327358988
signs/symptoms	predicted SM tractable	41	1198	0.034223706176961605
signs/symptoms	rhodopsin-like GPCRs	7	70	0.1
signs/symptoms	nuclear receptors	4	30	0.13333333333333333
signs/symptoms	enzymes	4	204	0.0196078431372549
signs/symptoms	ion channels	12	124	0.0967741935483871
signs/symptoms	kinases	3	107	0.028037383177570093
immune	all genes	65	2364	0.027495769881556685
immune	predicted Ab tractable	58	1280	0.0453125
immune	predicted SM tractable	36	833	0.04321728691476591
immune	rhodopsin-like GPCRs	4	40	0.1
immune	nuclear receptors	0	7	0
immune	enzymes	9	120	0.075
immune	ion channels	0	26	0
immune	kinases	5	79	0.06329113924050633
dermatology	all genes	49	2217	0.02210193955796121
dermatology	predicted Ab tractable	43	1183	0.03634826711749789
dermatology	predicted SM tractable	32	731	0.04377564979480164
dermatology	rhodopsin-like GPCRs	2	24	0.08333333333333333
dermatology	nuclear receptors	0	6	0
dermatology	enzymes	7	131	0.05343511450381679
dermatology	ion channels	0	28	0
dermatology	kinases	6	71	0.08450704225352113
ophthalmology	all genes	23	2044	0.011252446183953033
ophthalmology	predicted Ab tractable	18	1153	0.015611448395490026
ophthalmology	predicted SM tractable	15	626	0.023961661341853034
ophthalmology	rhodopsin-like GPCRs	1	19	0.05263157894736842
ophthalmology	nuclear receptors	1	18	0.05555555555555555
ophthalmology	enzymes	3	108	0.027777777777777776
ophthalmology	ion channels	2	54	0.037037037037037035
ophthalmology	kinases	0	61	0
musculoskeletal	all genes	30	1620	0.018518518518518517
musculoskeletal	predicted Ab tractable	27	887	0.030439684329199548
musculoskeletal	predicted SM tractable	22	539	0.04081632653061224
musculoskeletal	rhodopsin-like GPCRs	1	15	0.06666666666666667
musculoskeletal	nuclear receptors	2	6	0.3333333333333333
musculoskeletal	enzymes	2	91	0.02197802197802198
musculoskeletal	ion channels	1	31	0.03225806451612903
musculoskeletal	kinases	4	54	0.07407407407407407
other	all genes	7	1513	0.004626569729015202
other	predicted Ab tractable	6	761	0.00788436268068331
other	predicted SM tractable	5	487	0.01026694045174538
other	rhodopsin-like GPCRs	0	24	0
other	nuclear receptors	1	11	0.09090909090909091
other	enzymes	0	93	0
other	ion channels	0	35	0
other	kinases	1	41	0.024390243902439025
