bin_n_gsup_ti	mean_sup	sd_sup	mean_non	sd_non	n	disp	l95_sup	u95_sup	l95_non	u95_non
1	0.17549668874172186	0.3810227341107941	9.311258278145695	11.39865669678714	302	1	0.13252291539338595	0.21847046209005777	8.02565706459505	10.59685949169634
2	0.21978021978021978	0.4534020644998974	9.604395604395604	11.760387787118502	182	2	0.15390776156549663	0.2856526779949429	7.895789239864859	11.313001968926349
3	0.4413793103448276	0.6653723066925838	10.372413793103448	13.134425096111515	145	3	0.3330772318631037	0.5496813888265515	8.23453470907266	12.510292877134235
4	0.37383177570093457	0.7074184330070413	11.16822429906542	13.398455262488785	107	4	0.2397898821074978	0.5078736692943713	8.629480281643035	13.706968316487805
5	0.4875	0.8567490807358781	10.0125	11.584028452566638	80	5	0.2997565799497839	0.6752434200502161	7.474037842823391	12.550962157176608
6	0.625	1.0881594134550825	9.696428571428571	9.386488631600681	56	6	0.33999362048607334	0.9100063795139266	7.23795685472769	12.154900288129452
7	1	1.3284223283101428	10.8	12.515402275502256	35	7	0.5598930611237096	1.4401069388762904	6.653641370750363	14.946358629249637
8	0.918918918918919	1.460182225659569	10.945945945945946	12.440851047045568	37	8	0.4484160597266759	1.389421778111162	6.937229851777818	14.954662040114073
9	1	1.5096588248481377	13.931818181818182	17.695614654842736	44	9	0.5539243231090244	1.4460756768909757	8.703098185460803	19.16053817817556
10	2.1354838709677417	2.853745361629849	14.670967741935485	18.24476785964128	155	10+	1.6862159178592604	2.584751824076223	11.798675903479706	17.54325958039126
