gene	n_gsup_ti	n_gsup_pp_ti	n_nonsup_pp_ti	launched	omim	gwas
A2M	2	0	5	FALSE	FALSE	TRUE
AAK1	3	0	2	FALSE	FALSE	TRUE
ABAT	1	0	3	TRUE	TRUE	TRUE
ABCA1	17	1	4	FALSE	TRUE	TRUE
ABCC1	6	0	5	FALSE	FALSE	TRUE
ABCC8	4	2	6	TRUE	TRUE	TRUE
ABCC9	4	0	2	TRUE	TRUE	TRUE
ABCD1	1	1	2	TRUE	TRUE	FALSE
ABL1	2	1	44	TRUE	TRUE	TRUE
ACACA	2	0	3	FALSE	TRUE	TRUE
ACACB	2	0	3	FALSE	FALSE	TRUE
ACAN	3	0	1	FALSE	TRUE	TRUE
ACE	8	1	16	TRUE	TRUE	TRUE
ACHE	1	0	24	TRUE	FALSE	FALSE
ACKR3	4	0	2	FALSE	FALSE	TRUE
ACR	1	0	4	TRUE	FALSE	FALSE
ACVR1	4	1	12	TRUE	TRUE	TRUE
ACVR2A	16	1	10	FALSE	FALSE	TRUE
ACVRL1	6	1	27	TRUE	TRUE	TRUE
ADA	1	1	0	TRUE	TRUE	TRUE
ADAM10	4	0	7	FALSE	TRUE	TRUE
ADAM9	2	0	1	FALSE	TRUE	TRUE
ADAMTS13	1	1	1	FALSE	TRUE	TRUE
ADAMTS4	5	0	7	FALSE	FALSE	FALSE
ADCY6	5	0	1	FALSE	TRUE	TRUE
ADCYAP1R1	1	0	1	FALSE	FALSE	TRUE
ADH5	1	0	1	FALSE	FALSE	TRUE
ADIPOR1	1	0	4	FALSE	FALSE	TRUE
ADNP	4	0	7	FALSE	TRUE	TRUE
ADORA1	1	1	19	FALSE	FALSE	TRUE
ADORA2A	1	0	30	FALSE	FALSE	TRUE
ADRA1B	5	0	6	TRUE	FALSE	TRUE
ADRA1D	1	0	10	TRUE	FALSE	TRUE
ADRA2A	3	0	28	TRUE	FALSE	TRUE
ADRA2C	1	0	16	TRUE	FALSE	TRUE
ADRB1	9	2	20	TRUE	FALSE	TRUE
