share	mean	l95	u95	gensup_all	gensup_launched	nosup_all	nosup_launched
0.1	2.046624809873242	1.7685328516671055	2.3684451823669743	699	158	12323	1361
0.15000000000000002	2.1043654655385255	1.8141680795237691	2.440983314905225	649	151	12373	1368
0.2	2.1448222334436777	1.8473507356363048	2.490194376375314	624	148	12398	1371
0.25	2.187617481203007	1.8841290624922469	2.539990672260373	608	147	12414	1372
0.30000000000000004	2.2374316005471955	1.924492827357587	2.6012568589308693	578	143	12444	1376
0.35	2.289128978070699	1.9672030589782925	2.6637369509604985	553	140	12469	1379
0.4	2.3041841498007836	1.9766446781769715	2.6859984775259718	533	136	12489	1383
0.45000000000000007	2.36864035684953	2.0291774405734975	2.7648923292339633	503	132	12519	1387
0.5	2.3634552816566927	2.019315397200583	2.7662448749386996	484	127	12538	1392
0.55	2.4615663801337155	2.1006330331371625	2.8845157379799033	450	123	12572	1396
0.6	2.437322443181818	2.0641508932855337	2.877958540415694	408	111	12614	1408
0.65	2.457104349178373	2.0727167320991553	2.9127770762176968	382	105	12640	1414
0.7000000000000001	2.482981935551044	2.0770841791237538	2.968199052420534	337	94	12685	1425
0.75	2.603020427741098	2.1670486827549666	3.1267019523638435	297	87	12725	1432
0.8	2.5500124638913735	2.0750002818168287	3.1337651483631794	235	68	12787	1451
0.85	2.3643556587271743	1.8339543634372328	3.048155282598194	166	45	12856	1474
0.9	2.231783363901176	1.5760336651142877	3.160374739219075	93	24	12929	1495
