y	min	max	label	numerator	denominator	mean	l95	u95
11	1	2	1-2	56	235	0.23829787234042554	0.18831195353762714	0.2967020779151785
10	3	5	3-5	42	282	0.14893617021276595	0.11211231804447827	0.1951960030895679
9	6	11	6-11	49	383	0.1279373368146214	0.0981421850440829	0.16512188993682272
8	12	20	12-20	16	308	0.05194805194805195	0.032225621128984645	0.0827092530094237
7	21	43	21-43	26	311	0.08360128617363344	0.05768871414875588	0.11967502641406653
5	0	0.2	0.0-0.2	16	100	0.16	0.10095288488804781	0.24420269389270244
4	0.2	0.4	0.2-0.4	83	785	0.10573248407643313	0.08610864700637662	0.129196287745157
3	0.4	0.6000000000000001	0.4-0.6	42	394	0.1065989847715736	0.07983613697734121	0.1409589985549865
2	0.6000000000000001	0.8	0.6-0.8	11	107	0.102803738317757	0.058379172076019344	0.174759755322052
1	0.8	1.01	0.8-1.0	37	133	0.2781954887218045	0.20908434009153234	0.35975977697310085
