data_subset	rs	rs_l95	rs_u95	approved	supported	x_yes	n_yes	x_no	n_no	n_total
OMIM orphan	2.6550582324731673	2.0885104185440624	3.3752928188587896	46	116	46	116	453	3033	3149
OMIM non-orphan	3.665979456018518	3.0742625879816523	4.3715866772373575	79	192	79	192	1440	12830	13022
OTG orphan	2.070023871774468	1.5599352893842167	2.746908066556825	36	114	36	114	463	3035	3149
OTG non-orphan	2.3634552816566927	2.019315397200583	2.7662448749386996	127	484	127	484	1392	12538	13022
OMIM	3.665979456018518	3.0742625879816523	4.3715866772373575	79	192	79	192	1440	12830	13022
OMIM without GWAS	3.5152073306182894	2.8674305889601515	4.3093222987879205	59	148	59	148	1460	12874	13022
GWAS	2.2984777147877176	1.9696881807434545	2.68215033070956	134	526	134	526	1385	12496	13022
GWAS without OMIM	2.0621866945575436	1.7379828830754014	2.446867575407341	110	475	110	475	1409	12547	13022
OMIM + GWAS	4.082943143812709	3.0399499972606394	5.483782539393497	24	51	24	51	1495	12971	13022
Genebass all	2.6240647118301315	1.6908844057533474	4.0722568547223235	14	46	14	46	1505	12976	13022
missense/LC SKAT	2.752508272667108	1.5513526715744812	4.883674698810821	8	25	8	25	1511	12997	13022
missense/LC burden	3.451694352159469	2.294104890586712	5.193395450058323	14	35	14	35	1505	12987	13022
pLoF SKAT	3.0986225165562913	1.8333667505250086	5.237065359323299	9	25	9	25	1510	12997	13022
pLoF burden	3.2681560413427237	2.0467223086811814	5.218511502641124	11	29	11	29	1508	12993	13022
