area	top_mesh_heading	phase	x_yes	n_yes	x_no	n_no	ps_yes	ps_yes_l95	ps_yes_u95	ps_no	ps_no_l95	ps_no_u95	rs	rs_l95	rs_u95
all	ALL	Preclinical	749	1096	14125	21542	0.6833941605839416	0.6552559358157946	0.7102512895901697	0.6556958499675053	0.6493236568717364	0.6620125243036707	1.0422426199857893	0.9999327474675181	1.0863427382151305
all	ALL	I	574	667	9879	12355	0.8605697151424287	0.8322112035802456	0.884798745157231	0.799595305544314	0.7924441114261515	0.8065602551778367	1.0762565877704937	1.0425730995527636	1.111028323305367
all	ALL	II	279	432	2791	6791	0.6458333333333334	0.5996294197797697	0.689466528873056	0.4109851273744662	0.39933672426914024	0.4227341794705575	1.571427505075839	1.4572797692189499	1.6945163556565244
all	ALL	III	189	219	1330	1965	0.863013698630137	0.8111804738172969	0.9023312795227172	0.6768447837150128	0.6558386382305657	0.6971608360980045	1.2750540735400144	1.1996335001280984	1.3552163142137856
all	ALL	I-Launch	189	667	1330	12355	0.4796497299295558	0.4351709143194512	0.5241285455396604	0.22242593659094978	0.21293108815730613	0.23192078502459343	2.632249664641364	2.309212567847914	3.000476609852274
infection	C01	Preclinical	7	11	464	755	0.6363636363636364	0.35380117450784904	0.8483352890463244	0.614569536423841	0.5793564038414567	0.6486227056142352	1.035462382445141	0.6600586380601371	1.6243743868121037
infection	C01	I	6	7	364	420	0.8571428571428571	0.4868721707256811	0.9743203756552564	0.8666666666666667	0.8308107452882145	0.895876070241786	0.9890109890109889	0.7292079438116544	1.3413769620660316
infection	C01	II	4	6	125	231	0.6666666666666666	0.29999331513839217	0.9032285888942195	0.5411255411255411	0.4767174022498553	0.6041882440334394	1.232	0.6910923358274585	2.1962680257229
infection	C01	III	2	3	44	81	0.6666666666666666	0.20765960080204776	0.9385080552796038	0.5432098765432098	0.4352401589667707	0.6472666731563539	1.2272727272727273	0.5379973451441008	2.799638995809557
infection	C01	I-Launch	2	7	44	420	0.3809523809523809	-0.023883288320802	0.78578805022556375	0.2547521066039585	0.1947063273245083	0.3147978858834086	2.727272727272727	0.8179920492492958	9.093018123772456
oncology	C04	Preclinical	88	113	7089	9361	0.7787610619469026	0.6937769497876131	0.8454152225446437	0.7572908877256703	0.7485016559719677	0.7658690379881413	1.0283512908569552	0.9314769655285968	1.1353006209950127
oncology	C04	I	68	76	4949	6104	0.8947368421052632	0.8058005367767949	0.945688738171781	0.8107798165137615	0.8007595176380802	0.8204091923848136	1.1035509565994193	1.0206838634633089	1.1931458479996546
oncology	C04	II	25	51	1118	3040	0.49019607843137253	0.3585748589437074	0.6231907610543029	0.36776315789473685	0.35079908666720744	0.38506100628536655	1.3329124136237678	1.0036335965462997	1.770223225394366
oncology	C04	III	16	16	538	761	1	0.8063923194655637	1	0.7069645203679369	0.6736514839837455	0.7381985750934613	1.4144981412639406	1.3512533874503052	1.480703034842698
oncology	C04	I-Launch	16	76	538	6104	0.43859649122807015	0.3111742657789736	0.5660187166771666	0.21079910745727717	0.19679572796271066	0.22480248695184368	2.3885736646448836	1.5340535580916654	3.719090589335328
musculoskeletal	C05	Preclinical	45	64	494	858	0.703125	0.5822979889645707	0.8009484867446021	0.5757575757575758	0.5424221773739575	0.608417630423043	1.2212171052631577	1.0310818761998626	1.4464139585925981
musculoskeletal	C05	I	29	41	353	468	0.7073170731707317	0.5552053227700284	0.8239081237388657	0.7542735042735043	0.7133027580946658	0.791103956387037	0.9377461479997236	0.7650193700739422	1.1494713369196456
musculoskeletal	C05	II	14	20	142	300	0.7	0.4810271816464766	0.8545227551323956	0.47333333333333333	0.4175289979894712	0.5298119604758378	1.4788732394366197	1.0838634855009448	2.0178427334978757
musculoskeletal	C05	III	8	12	72	106	0.6666666666666666	0.39062208887279953	0.861879908908787	0.6792452830188679	0.5854617194006704	0.7604914426201602	0.9814814814814815	0.6442858452626489	1.4951529753045927
musculoskeletal	C05	I-Launch	8	41	72	468	0.33008130081300807	0.15323088936798024	0.5069317122580359	0.24250604741170775	0.1977109707203455	0.28730112410307	1.2682926829268293	0.6574959884241602	2.4465036409135097
digestive	C06	Preclinical	65	94	718	1174	0.6914893617021277	0.592143129006893	0.7757990545410262	0.6115843270868825	0.5833836638730175	0.6390571392061386	1.1306525217803591	0.9804718226705899	1.303836678882084
digestive	C06	I	50	56	506	634	0.8928571428571429	0.7853155482892853	0.9499606442888293	0.7981072555205048	0.7651084149820531	0.827515339357912	1.1187182382834557	1.0134582268824257	1.2349107871154839
digestive	C06	II	16	35	138	389	0.45714285714285713	0.30466019288407226	0.6181027493151624	0.35475578406169667	0.3088433149179606	0.4035088376801263	1.2886128364389233	0.8767558436030024	1.893940091019293
digestive	C06	III	10	13	50	90	0.7692307692307693	0.49743624053272506	0.9182047128150144	0.5555555555555556	0.4527192645595967	0.6538434437110338	1.3846153846153846	0.9753106195147204	1.965691467880786
digestive	C06	I-Launch	10	56	50	634	0.3139717425431711	0.1631674212713672	0.46477606381497505	0.1572962028875031	0.12080450502296067	0.19378790075204552	2.2642857142857147	1.2161791530828336	4.215653411688739
respiratory	C08	Preclinical	50	70	772	1126	0.7142857142857143	0.5994980341827975	0.8067777962128024	0.6856127886323268	0.6579029187320594	0.7120604922727907	1.041820873427091	0.8937064810645471	1.2144823331878642
respiratory	C08	I	41	46	555	676	0.8913043478260869	0.7696217135574918	0.9526685414190106	0.8210059171597633	0.790318833242344	0.8480652993653527	1.0856247551899725	0.975580031974742	1.208082443729026
respiratory	C08	II	20	30	164	358	0.6666666666666666	0.4878005164454384	0.8076950191632386	0.4581005586592179	0.4072066656237366	0.5098840953471722	1.4552845528455283	1.1032078787577657	1.9197226293702274
respiratory	C08	III	12	13	58	98	0.9230769230769231	0.6668604907890041	0.9862895787574434	0.5918367346938775	0.49285371593437916	0.683891592002455	1.5596816976127321	1.2425892427094802	1.9576919823994339
respiratory	C08	I-Launch	12	46	58	676	0.5484949832775919	0.37549744660513806	0.7214925199500458	0.2225917308181413	0.17748310620042484	0.26770035543585774	3.0404797601199403	1.7627772566951916	5.244291152831407
neurology	C10	Preclinical	116	154	1371	2304	0.7532467532467533	0.679544539576648	0.814622205857497	0.5950520833333334	0.5748659521536815	0.6149217814559824	1.265850123618176	1.1494409188764623	1.3940486275975088
neurology	C10	I	93	105	959	1202	0.8857142857142857	0.8107987321190485	0.9334029799642094	0.7978369384359401	0.7742003851675913	0.8195758486502804	1.1101444957545061	1.0305812060075719	1.1958502583492407
