area	gene	indication_mesh_id	indication_mesh_term	abs_beta
other	ACVR2A	D007676	Kidney Failure, Chronic	0.0148957999999999
other	DNMT3B	D058186	Acute Kidney Injury	0.0101
other	DPEP1	D058186	Acute Kidney Injury	0.0194
other	EGFR	D007676	Kidney Failure, Chronic	0.0146606
other	KCNJ1	D051437	Renal Insufficiency	0.0208169
other	NFE2L2	D007676	Kidney Failure, Chronic	0.0257
other	NFE2L2	D051437	Renal Insufficiency	0.0257
other	PGR	D008593	Menopause	0.08
other	SLC9A3	D007676	Kidney Failure, Chronic	0.0175589
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	0.115858
musculoskeletal	CD28	D012859	Sjogren's Syndrome	0.115858
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	0.0917533
musculoskeletal	CD40	D012859	Sjogren's Syndrome	0.0917533
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	0.138126
musculoskeletal	ESR1	D010024	Osteoporosis	0.07
musculoskeletal	IL23R	D015535	Arthritis, Psoriatic	0.3904
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	0.0788456
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	0.0788456
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	0.0792409
musculoskeletal	PPARG	D006073	Gout	0.0218
musculoskeletal	SLC22A12	D006073	Gout	0.07
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	0.08
musculoskeletal	SOST	D010024	Osteoporosis	0.08
ophthalmology	CD28	D012859	Sjogren's Syndrome	0.115858
ophthalmology	CD40	D012859	Sjogren's Syndrome	0.0917533
ophthalmology	FLT1	D009216	Myopia	0.0451
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	0.0788456
ophthalmology	MAPT	D013494	Supranuclear Palsy, Progressive	0.38
ophthalmology	PTPN1	D005901	Glaucoma	0.0660354707958
ophthalmology	TGFB2	D005901	Glaucoma	0.00625
dermatology	CD28	D001172	Arthritis, Rheumatoid	0.115858
dermatology	CD28	D012859	Sjogren's Syndrome	0.115858
dermatology	CD40	D001172	Arthritis, Rheumatoid	0.0917533
dermatology	CD40	D012859	Sjogren's Syndrome	0.0917533
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	0.138126
dermatology	IL13	D003876	Dermatitis, Atopic	0.22578353
dermatology	IL13	D011565	Psoriasis	0.196
dermatology	IL23R	D011565	Psoriasis	0.3904
dermatology	IL23R	D015535	Arthritis, Psoriatic	0.3904
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	0.0788456
dermatology	IL2RA	D012859	Sjogren's Syndrome	0.0788456
dermatology	IL6R	D001172	Arthritis, Rheumatoid	0.0792409
dermatology	STAT3	D011565	Psoriasis	0.1024
