area	genelist	developed	supported	utilization
all_areas	all genes	478	34190	0.013980696109973677
all_areas	predicted Ab tractable	395	17811	0.022177306159115152
all_areas	predicted SM tractable	394	12391	0.031797272213703494
all_areas	rhodopsin-like GPCRs	24	508	0.047244094488188976
all_areas	nuclear receptors	16	245	0.0653061224489796
all_areas	enzymes	71	2278	0.031167690956979806
all_areas	ion channels	21	714	0.029411764705882353
all_areas	kinases	67	1134	0.059082892416225746
respiratory	all genes	21	884	0.023755656108597284
respiratory	predicted Ab tractable	20	480	0.041666666666666664
respiratory	predicted SM tractable	11	318	0.03459119496855346
respiratory	rhodopsin-like GPCRs	2	9	0.2222222222222222
respiratory	nuclear receptors	0	5	0
respiratory	enzymes	1	51	0.0196078431372549
respiratory	ion channels	1	26	0.038461538461538464
respiratory	kinases	0	13	0
metabolic	all genes	92	6819	0.01349171432761402
metabolic	predicted Ab tractable	76	3594	0.021146355036171398
metabolic	predicted SM tractable	75	2487	0.030156815440289506
metabolic	rhodopsin-like GPCRs	5	90	0.05555555555555555
metabolic	nuclear receptors	6	51	0.11764705882352941
metabolic	enzymes	10	471	0.021231422505307854
metabolic	ion channels	1	98	0.01020408163265306
metabolic	kinases	3	185	0.016216216216216217
hematology	all genes	29	4794	0.006049228201919066
hematology	predicted Ab tractable	26	2409	0.010792860107928601
hematology	predicted SM tractable	24	1698	0.014134275618374558
hematology	rhodopsin-like GPCRs	0	87	0
hematology	nuclear receptors	0	30	0
hematology	enzymes	6	276	0.021739130434782608
hematology	ion channels	0	58	0
hematology	kinases	1	156	0.00641025641025641
cardiovascular	all genes	28	2681	0.010443864229765013
cardiovascular	predicted Ab tractable	28	1436	0.019498607242339833
cardiovascular	predicted SM tractable	25	952	0.026260504201680673
cardiovascular	rhodopsin-like GPCRs	1	43	0.023255813953488372
cardiovascular	nuclear receptors	0	17	0
cardiovascular	enzymes	9	212	0.04245283018867924
cardiovascular	ion channels	6	97	0.061855670103092786
cardiovascular	kinases	0	90	0
oncology	all genes	168	4304	0.03903345724907063
oncology	predicted Ab tractable	130	2088	0.06226053639846743
oncology	predicted SM tractable	158	1975	0.08
oncology	rhodopsin-like GPCRs	5	37	0.13513513513513514
oncology	nuclear receptors	4	25	0.16
oncology	enzymes	33	419	0.07875894988066826
oncology	ion channels	0	56	0
oncology	kinases	52	250	0.208
congenital	all genes	75	4488	0.016711229946524065
congenital	predicted Ab tractable	58	2444	0.023731587561374796
congenital	predicted SM tractable	54	1697	0.03182086034177961
congenital	rhodopsin-like GPCRs	1	46	0.021739130434782608
congenital	nuclear receptors	1	28	0.03571428571428571
congenital	enzymes	13	296	0.04391891891891892
congenital	ion channels	1	103	0.009708737864077669
congenital	kinases	2	114	0.017543859649122806
infection	all genes	3	234	0.01282051282051282
infection	predicted Ab tractable	3	138	0.021739130434782608
infection	predicted SM tractable	1	88	0.011363636363636364
infection	rhodopsin-like GPCRs	0	4	0
infection	nuclear receptors	0	2	0
infection	enzymes	0	13	0
infection	ion channels	0	7	0
infection	kinases	0	2	0
endocrine	all genes	27	2676	0.010089686098654708
endocrine	predicted Ab tractable	23	1327	0.01733232856066315
endocrine	predicted SM tractable	24	922	0.026030368763557483
endocrine	rhodopsin-like GPCRs	5	53	0.09433962264150944
endocrine	nuclear receptors	2	32	0.0625
endocrine	enzymes	1	187	0.0053475935828877
endocrine	ion channels	1	53	0.018867924528301886
endocrine	kinases	2	80	0.025
signs/symptoms	all genes	31	3629	0.008542298153761367
signs/symptoms	predicted Ab tractable	27	1897	0.014232999472851872
signs/symptoms	predicted SM tractable	27	1200	0.0225
signs/symptoms	rhodopsin-like GPCRs	3	70	0.04285714285714286
signs/symptoms	nuclear receptors	2	30	0.06666666666666667
signs/symptoms	enzymes	3	206	0.014563106796116505
signs/symptoms	ion channels	8	124	0.06451612903225806
signs/symptoms	kinases	3	107	0.028037383177570093
immune	all genes	50	2406	0.020781379883624274
immune	predicted Ab tractable	46	1301	0.035357417371252885
immune	predicted SM tractable	26	855	0.0304093567251462
immune	rhodopsin-like GPCRs	2	40	0.05
immune	nuclear receptors	0	7	0
immune	enzymes	7	125	0.056
immune	ion channels	0	26	0
immune	kinases	2	79	0.02531645569620253
digestive	all genes	24	2309	0.01039411000433088
digestive	predicted Ab tractable	18	1252	0.01437699680511182
digestive	predicted SM tractable	14	802	0.017456359102244388
digestive	rhodopsin-like GPCRs	0	47	0
digestive	nuclear receptors	2	21	0.09523809523809523
digestive	enzymes	2	129	0.015503875968992248
digestive	ion channels	1	24	0.041666666666666664
digestive	kinases	2	71	0.028169014084507043
neurology	all genes	60	3481	0.017236426314277506
neurology	predicted Ab tractable	51	1911	0.026687598116169546
neurology	predicted SM tractable	45	1212	0.03712871287128713
neurology	rhodopsin-like GPCRs	2	53	0.03773584905660377
neurology	nuclear receptors	0	13	0
neurology	enzymes	8	198	0.04040404040404041
neurology	ion channels	9	133	0.06766917293233082
neurology	kinases	2	86	0.023255813953488372
psychiatry	all genes	23	2382	0.009655751469353484
psychiatry	predicted Ab tractable	21	1300	0.016153846153846154
psychiatry	predicted SM tractable	22	786	0.027989821882951654
psychiatry	rhodopsin-like GPCRs	5	53	0.09433962264150944
psychiatry	nuclear receptors	0	18	0
psychiatry	enzymes	3	131	0.022900763358778626
psychiatry	ion channels	4	84	0.047619047619047616
psychiatry	kinases	0	74	0
musculoskeletal	all genes	23	1620	0.014197530864197531
musculoskeletal	predicted Ab tractable	22	887	0.02480270574971815
musculoskeletal	predicted SM tractable	17	539	0.03153988868274583
musculoskeletal	rhodopsin-like GPCRs	1	15	0.06666666666666667
musculoskeletal	nuclear receptors	1	6	0.16666666666666666
musculoskeletal	enzymes	1	91	0.01098901098901099
musculoskeletal	ion channels	1	31	0.03225806451612903
musculoskeletal	kinases	3	54	0.05555555555555555
dermatology	all genes	36	2217	0.016238159675236806
dermatology	predicted Ab tractable	31	1183	0.026204564666103127
dermatology	predicted SM tractable	23	731	0.03146374829001368
dermatology	rhodopsin-like GPCRs	2	24	0.08333333333333333
dermatology	nuclear receptors	0	6	0
dermatology	enzymes	6	131	0.04580152671755725
dermatology	ion channels	0	28	0
