area	color	n_ti	rs	rs_l95	rs_u95	nosup_clinical	nosup_launched	gensup_clinical	gensup_launched	ps	ps_l95	ps_u95	pg	pg_l95	pg_u95	possible_supported_gene_indication_pairs	mean_similarity_of_launched_indications	mean_launched_indications_per_target	mean_similarity_since_2000_only	mean_indications_per_target_since_2000_only	n_launched_ti	n_gensup_ti
respiratory	#E31A1C	474	3.634095634095634	2.0900364220820298	6.318861689786675	437	39	37	12	0.09714285714285714	0.07465947253362044	0.12547888094705872	0.09333333333333334	0.07131905306815799	0.12125559689933613	4598	0.4349039195186042	13.847826086956522	0.5409435743994567	9.304347826086957	50	59
metabolic	#FFB90F	449	3.3903743315508024	2.2963763869236282	5.005554914034584	317	34	132	48	0.1544256120527307	0.12618260598061712	0.187632742572912	0.3389830508474576	0.30000565525437517	0.38027343085639714	20087	0.6032196771592605	3.861111111111111	0.725104800986051	2.5	78	239
hematology	#CAB2D6	261	3.288497800125707	2.2128726857048555	4.88695886179598	218	37	43	24	0.18944099378881987	0.15039752589114136	0.23580703897960106	0.2080745341614907	0.16730655310349773	0.25572573787500014	27095	0.4575659483251456	8.09433962264151	0.4593807980710866	5.622641509433962	54	81
cardiovascular	#B2DF8A	557	3.127016129032258	1.9676524183988773	4.969490434283434	517	62	40	15	0.12145110410094637	0.09827878525196986	0.14918311399886808	0.08675078864353312	0.06725474646057687	0.11122449355492123	5544	0.3777460260010843	11.694444444444445	0.44332675373135255	7.041666666666667	77	92
oncology	#66A61E	3366	2.947555555555556	1.866848237513514	4.653877898858144	3316	315	50	14	0.08903924221921515	0.08027796652539888	0.09865413050795431	0.017320703653585928	0.013587816054413381	0.022056171472083445	11327	0.49002921800141125	14.655021834061136	0.5345501305300975	11.362445414847162	255	82
congenital	#8B7E66	369	2.556178515362189	1.8181849843935256	3.593720473155675	278	49	91	41	0.19607843137254902	0.16234261474001155	0.2348591815059785	0.2875816993464052	0.2480707022476679	0.3306187252360886	19879	0.5698359281565195	5.4625	0.6350307416072489	3.9125	84	167
infection	#EE7600	280	2.4035087719298245	0.7463979105720235	7.739644410735761	274	38	6	2	0.125	0.09315490685365135	0.16574171226983092	0.025	0.01272117850740435	0.0485478723823399	1318	0.3154017749809538	17.82051282051282	0.3849600639012404	13.974358974358974	54	10
endocrine	#33A02C	308	2.3586800573888094	1.3806496457439856	4.029531771708646	274	41	34	12	0.14681440443213298	0.11402689634257347	0.1870393782407575	0.12742382271468145	0.09690706235147815	0.16578638024819253	4292	0.5024579961449883	9.181818181818182	0.5167058160359983	6.636363636363637	44	70
signs/symptoms	#7B3F00	510	1.9090909090909094	1.1591957542550264	3.144100628211692	459	66	51	14	0.13559322033898305	0.11031441765850321	0.16558659327135983	0.11016949152542373	0.08738288846136298	0.1379995883473277	10551	0.41079057026120386	10.772727272727273	0.46047377203406614	6.136363636363637	112	114
immune	#FF7F00	703	1.8898809523809523	1.1962308219970892	2.985753207904742	635	84	68	17	0.1256218905472637	0.10447863819590138	0.15032563877347613	0.10572139303482588	0.08631026944717253	0.12888227473652406	8632	0.4168143608715032	12.438202247191011	0.49177635554391996	9.01123595505618	107	128
digestive	#FDBF6F	439	1.85497692814766	0.8962670897901013	3.8391897272117514	402	41	37	7	0.09856262833675565	0.07514841620466967	0.1282603566821506	0.09034907597535935	0.06799167229663698	0.11911855885896735	5342	0.37459341579844024	15.571428571428571	0.47085989016818847	12.023809523809524	45	80
neurology	#B15928	819	1.8299029126213595	1.1928755600182193	2.8071198554600207	744	103	75	19	0.12964930924548354	0.10968310732361929	0.15262699402400573	0.09989373007438895	0.08233151684208233	0.12070938174437625	12208	0.5003919816453287	8.727272727272727	0.5774961047535022	5.03030303030303	118	141
psychiatry	#9959E1	426	1.6482435597189695	0.8969553694163298	3.0288093753459395	391	61	35	9	0.14112903225806453	0.1132413461141465	0.17453281963846612	0.08870967741935484	0.06674535296794974	0.1169958257597636	7600	0.3413230303018398	11.03225806451613	0.35544828701764186	5.354838709677419	34	60
musculoskeletal	#A6CEE3	344	1.5206896551724138	0.7600724712796348	3.0424691259441947	315	50	29	7	0.14214463840399003	0.11135561171688799	0.17972489956268076	0.08977556109725686	0.06555159738269323	0.12178459847437337	3167	0.3803398276978891	12.26530612244898	0.40392432548777085	8.877551020408163	55	52
dermatology	#FB9A99	713	1.4943310657596371	0.8783675791059945	2.542244713047257	659	98	54	12	0.1336573511543135	0.11210285663459049	0.15861586027633254	0.08019441069258809	0.06353018546954045	0.10075942213485062	8517	0.4154304659631556	10.744444444444444	0.4763205203057654	8.11111111111111	92	88
ophthalmology	#6A3D9A	307	1.0651340996168583	0.45934426877606266	2.4698482756507554	278	45	29	5	0.1400560224089636	0.10787582512222309	0.1799000284619795	0.09523809523809523	0.06895470720991609	0.13013954059488755	7663	0.3689079650661656	15.666666666666666	0.43235934010090354	11.461538461538462	40	51
other	#BBBBBB	173	0.7112068965517242	0.11039298421918277	4.581951047708342	165	29	8	1	0.1477832512315271	0.10552083721478965	0.20312840160167392	0.04433497536945813	0.0234974168994103	0.08209775219881173	3224	0.3447977819239095	10.448275862068966	0.3238562795442106	6.413793103448276	55	24
