variable	area	n_ti	median_x	q25	q75
Year of discovery	cardiovascular	27	2016	2015	2019
Year of discovery	congenital	18	2018	2009.25	2018
Year of discovery	dermatology	41	2017	2012	2018
Year of discovery	digestive	30	2012	2011	2016.75
Year of discovery	endocrine	17	2019	2017	2020
Year of discovery	hematology	22	2016	2013.75	2018
Year of discovery	immune	62	2018	2013	2019
Year of discovery	infection	6	2020	2020	2020.75
Year of discovery	metabolic	58	2018	2009.25	2020
Year of discovery	musculoskeletal	20	2012	2008	2013
Year of discovery	neurology	16	2017.5	2012.5	2019
Year of discovery	oncology	31	2016	2012.5	2019.5
Year of discovery	ophthalmology	9	2013	2011	2018
Year of discovery	other	10	2021	2019.5	2021
Year of discovery	psychiatry	20	2019	2016.25	2020
Year of discovery	respiratory	33	2018	2016	2019
Year of discovery	signs/symptoms	25	2018	2012	2020
Year of discovery	Total	445			
Gene count	cardiovascular	28	103	11	1365
Gene count	congenital	28	69	8.75	360
Gene count	dermatology	42	121.5	69	126
Gene count	digestive	30	178	164	181
Gene count	endocrine	21	612	539	612
Gene count	hematology	33	695	11	1516
Gene count	immune	63	140	118	917
Gene count	infection	6	70.5	9.25	339.5
Gene count	metabolic	80	488	360	612
Gene count	musculoskeletal	20	126	70	126
Gene count	neurology	27	83	23	154
Gene count	oncology	33	54	21	194
Gene count	ophthalmology	10	126	122.25	230.25
Gene count	other	10	178	42	582
Gene count	psychiatry	25	100	90	197
Gene count	respiratory	33	1103	128	1103
Gene count	signs/symptoms	28	410	202	1499
Gene count	Total	517			
Beta	cardiovascular	14	0.214	0.0614185525	0.3357136325
Beta	congenital	14	0.07635	0.0323	0.0879857
Beta	dermatology	11	0.1024	0.0854971	0.126992
Beta	digestive	9	0.03026724	0.017	0.113
Beta	endocrine	15	0.0549	0.0286637	0.0894
Beta	hematology	27	0.04766949	0.0271	0.092924355
Beta	immune	30	0.0838543425	0.03220043	0.1230239
Beta	infection	4	0.0512951	0.018173425	0.0964
Beta	metabolic	70	0.04665	0.024624525	0.0785801
Beta	musculoskeletal	12	0.08	0.0788456	0.097779475
Beta	neurology	13	0.38	0.1439	0.846
Beta	oncology	6	0.2673	0.15115	1.1375
Beta	ophthalmology	5	0.0917533	0.0788456	0.115858
Beta	other	7	0.0208169	0.01847945	0.0257
Beta	psychiatry	18	0.07564402	0.03814480875	0.354925
Beta	respiratory	23	0.121619895	0.03135	0.2082
Beta	signs/symptoms	23	0.047	0.024355	0.1193595
Beta	Total	301			
Odds ratio	cardiovascular	17	1.01585934539419	1.00810801334036	1.04
Odds ratio	congenital	6	1.0729629471415	1.05248417570387	1.0936203282133
Odds ratio	dermatology	21	1.0989010989011	1.08	1.13
Odds ratio	digestive	19	1.09680345573053	1.08104604712687	1.11605483716885
Odds ratio	endocrine	10	1.07	1.05627654818887	1.10729052603331
Odds ratio	immune	33	1.1111112	1.06790629721624	1.139
Odds ratio	infection	1	1.06391021185041	1.06391021185041	1.06391021185041
Odds ratio	metabolic	30	1.04935115259691	1.01883966864358	1.0989010989011
Odds ratio	musculoskeletal	17	1.1	1.01277136611018	1.13
Odds ratio	neurology	13	1.085	1.05263157894737	1.155
Odds ratio	oncology	15	1.0947	1.07302665224425	1.13593671878597
Odds ratio	ophthalmology	4	1.135	1.115	1.15
Odds ratio	psychiatry	9	1.074	1.05263157894737	1.08
Odds ratio	respiratory	19	1.1111112	1.053	1.139
Odds ratio	signs/symptoms	3	1.04	1.03975055	1.115
Odds ratio	Total	217			
Minor allele frequency	cardiovascular	13	0.300716145833333	0.0324860588769291	0.400839312305401
Minor allele frequency	congenital	25	0.240863571335674	0.115024694567195	0.345579644294431
Minor allele frequency	dermatology	30	0.175755441791143	0.0663748554780888	0.311822256559547
Minor allele frequency	digestive	25	0.324037961518461	0.245227892481496	0.380862673769001
Minor allele frequency	endocrine	13	0.161867704280156	0.100737910133087	0.337861233186842
Minor allele frequency	hematology	28	0.271378958210906	0.0324203939750549	0.369062631341689
Minor allele frequency	immune	46	0.27381083043549	0.224828849200326	0.407395549758714
Minor allele frequency	infection	5	0.273063448812768	0.271917273673257	0.322486014463092
Minor allele frequency	metabolic	63	0.210960032962505	0.136906306773942	0.389201614449849
Minor allele frequency	musculoskeletal	13	0.347045040354074	0.2454840805718	0.377549686192469
Minor allele frequency	neurology	20	0.314586243499287	0.197805361651066	0.420294366155687
Minor allele frequency	oncology	26	0.168375909487328	0.0856901920083031	0.278968745925713
Minor allele frequency	ophthalmology	7	0.26001300390117	0.237086143049622	0.45686479891546
Minor allele frequency	other	7	0.319251267385935	0.269170330887448	0.323217550250986
Minor allele frequency	psychiatry	21	0.359330391902414	0.0820817552566279	0.457653132412446
Minor allele frequency	respiratory	27	0.273063448812768	0.172406456766695	0.380147644744773
Minor allele frequency	signs/symptoms	25	0.243399661854597	0.139187962122195	0.370005189413596
Minor allele frequency	Total	394			
