uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	tia	cat	assoc_share	assoc_rank	source_name	gwas_source	min_assoc_year	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	launched
ACE-D006973	1	5	ACE-D006973	ACE	D006973	Hypertension	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2013	6590	D006973	Hypertension	OTG		Angiotensin-converting enzyme activity	https://genetics.opentargets.org/study/GCST000565	2010			0.477350539899921	0.72	1	ACE-D006973-D006973	Launched	0.72	1	GWAS	GWAS Catalog	2010		16.2	3	cardiovascular	both	genetically supported target	TRUE
ACVR2A-D007676	0.95	3	ACVR2A-D007676	ACVR2A	D007676	Kidney Failure, Chronic	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		9620	D051436	Renal Insufficiency, Chronic	OTG		Serum urea levels	https://genetics.opentargets.org/study/GCST90025991	2021			0.2869429241595	0.71	1	ACVR2A-D007676-D051436	Phase II	0.71	1	GWAS	GWAS Catalog	2021	0.0148957999999999		2	other	both	genetically supported target	FALSE
ACVRL1-D000740	1	3	ACVRL1-D000740	ACVRL1	D000740	Anemia	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		TRUE		9672	D000740	Anemia	OTG		Hemoglobin	https://genetics.opentargets.org/study/GCST005995	2018			0.116363636363636	0.53	1	ACVRL1-D000740-D000740	Phase II	0.53	1	GWAS	GWAS Catalog	2018			2	hematology	both	genetically supported target	FALSE
ADORA1-D001249	1	3	ADORA1-D001249	ADORA1	D001249	Asthma	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		14877	D001249	Asthma	OTG		Asthma	https://genetics.opentargets.org/study/GCST003987	2016			0.344225022736131	0.58	1	ADORA1-D001249-D001249	Phase II	0.58	1	GWAS	GWAS Catalog	2016			2	respiratory, immune	gwas	genetically supported target	FALSE
ADORA1-D029424	0.807	3	ADORA1-D029424	ADORA1	D029424	Pulmonary Disease, Chronic Obstructive	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		14877	D001249	Asthma	OTG		Asthma	https://genetics.opentargets.org/study/GCST003987	2016			0.344225022736131	0.58	1	ADORA1-D029424-D001249	Phase II	0.58	1	GWAS	GWAS Catalog	2016			2	respiratory	gwas	genetically supported target	FALSE
ADRB1-D006973	1	5	ADRB1-D006973	ADRB1	D006973	Hypertension	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		15215	D006973	Hypertension	OTG		Blood pressure [Mean Arterial Pressure]	https://genetics.opentargets.org/study/GCST001236_2	2011			0.702169112871802	0.73	1	ADRB1-D006973-D006973	Launched	0.73	1	GWAS	GWAS Catalog	2011	0.338		3	cardiovascular	both	genetically supported target	TRUE
ADRB2-D001249	1	5	ADRB2-D001249	ADRB2	D001249	Asthma	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2004	15290	D001249	Asthma	OTG		Lung function (FEV1/FVC)	https://genetics.opentargets.org/study/GCST007431	2019			0.153561697158427	0.88	1	ADRB2-D001249-D001249	Launched	0.88	1	GWAS	GWAS Catalog	2019	0.0247		3	respiratory, immune	gwas	genetically supported target	TRUE
ADRB2-D029424	0.807	5	ADRB2-D029424	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2009	15290	D001249	Asthma	OTG		Lung function (FEV1/FVC)	https://genetics.opentargets.org/study/GCST007431	2019			0.153561697158427	0.88	1	ADRB2-D029424-D001249	Launched	0.88	1	GWAS	GWAS Catalog	2019	0.0247		3	respiratory	gwas	genetically supported target	TRUE
AGT-D006973	1	5	AGT-D006973	AGT	D006973	Hypertension	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE		17386	D006973	Hypertension	OTG		Mean arterial pressure	https://genetics.opentargets.org/study/GCST006231	2016			0.439781733142783	0.71	1	AGT-D006973-D006973	Launched	0.71	1	GWAS	GWAS Catalog	2016	0.32885453		3	cardiovascular	both	genetically supported target	TRUE
ALCAM-D001943	1	3	ALCAM-D001943	ALCAM	D001943	Breast Neoplasms	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		20180	D001943	Breast Neoplasms	OTG		Breast cancer	https://genetics.opentargets.org/study/GCST009665	2019			0.105952535339126	1	1	ALCAM-D001943-D001943	Phase II	1	1	GWAS	GWAS Catalog	2019		1.21574	2	oncology	both	genetically supported target	FALSE
ALDH2-D000437	0.852	3	ALDH2-D000437	ALDH2	D000437	Alcoholism	Phase II	Phase I	Phase II	3	3	3	TRUE	TRUE	FALSE		FALSE		21190	D008104	Liver Cirrhosis, Alcoholic	OTG		Cirrhosis	https://genetics.opentargets.org/study/GCST90018826	2021			0	0.81	1	ALDH2-D000437-D008104	Phase II	0.81	1	GWAS	GWAS Catalog	2021	0.2797		2	psychiatry	gwas	genetically supported target	FALSE
ALDH2-D019973	0.859	3	ALDH2-D019973	ALDH2	D019973	Alcohol-Related Disorders	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		21190	D008104	Liver Cirrhosis, Alcoholic	OTG		Cirrhosis	https://genetics.opentargets.org/study/GCST90018826	2021			0	0.81	1	ALDH2-D019973-D008104	Phase II	0.81	1	GWAS	GWAS Catalog	2021	0.2797		2	psychiatry	gwas	genetically supported target	FALSE
ALPL-D061205	0.801	2	ALPL-D061205	ALPL	D061205	Vascular Calcification	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		22622	D002128	Calcium Metabolism Disorders	OTG		Calcium levels	https://genetics.opentargets.org/study/GCST012398	2021			0.420891437508145	0.6	1	ALPL-D061205-D002128	Phase I	0.6	1	GWAS	GWAS Catalog	2021	0.002386		1	metabolic	both	genetically supported target	FALSE
APOA1-D006937	0.874	3	APOA1-D006937	APOA1	D006937	Hypercholesterolemia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		29822	D050171	Dyslipidemias	OTG		Apolipoprotein A1 levels	https://genetics.opentargets.org/study/GCST010241	2020			0.673179280799688	0.62	1	APOA1-D006937-D050171	Phase II	0.62	1	GWAS	GWAS Catalog	2020	0.0849428		2	metabolic	both	genetically supported target	FALSE
