bin_n_possible_gensup_ti	n_targets	n_developed_gensup_ti_mean	n_developed_gensup_ti_sd	n_developed_gensup_ti_l95	n_developed_gensup_ti_u95	n_developed_nosup_ti_mean	n_developed_nosup_ti_sd	n_developed_nosup_ti_l95	n_developed_nosup_ti_u95
1	248	0.1774193548387097	0.3827957478383803	0.12977654841991465	0.22506216125750472	6.383064516129032	7.231456495088333	5.483036540721913	7.283092491536151
2	153	0.19607843137254902	0.4300982679851652	0.1279265185673692	0.26423034417772884	6.849673202614379	8.304066253340546	5.533839028537627	8.165507376691131
3	116	0.3620689655172414	0.5955859624610537	0.2536833795387853	0.4704545514956975	7.129310344827586	8.664299738295211	5.552568676256916	8.706052013398256
4	91	0.32967032967032966	0.6675817894950743	0.19250641969925314	0.4668342396414062	8.131868131868131	9.09237628298051	6.263713695173312	10.000022568562951
5	62	0.43548387096774194	0.8222513624277421	0.23080885715711225	0.6401588847783717	6.935483870967742	7.831987725299611	4.985943536844854	8.88502420509063
6	40	0.575	1.1067971810589328	0.23199999999999998	0.9179999999999999	7.575	9.37779018308411	4.668792713024105	10.481207286975895
7	29	0.7586206896551724	0.9876079475824802	0.39916807370233376	1.118073305608011	6.310344827586207	6.585175170009104	3.9135856204922743	8.70710403468014
8	32	0.875	1.0395408415691625	0.5148174745869767	1.2351825254130233	7.8125	8.942242989173318	4.714170878235466	10.910829121764534
9	37	0.8378378378378378	1.364500590641815	0.3981657078908483	1.2775099677848274	11.216216216216216	16.878874263303118	5.7774713381628935	16.654961094269538
10+	129	1.558139534883721	2.0421609906243696	1.2057271258523414	1.9105519439151006	8.534883720930232	9.467086497132371	6.9011639631442305	10.168603478716232
