binned_by	bin	min	max	supported	total	pg	pg_l95	pg_u95
mean similarity	1	1	1	29	84	0.34523809523809523	0.2523501498393537	0.45166205181280294
mean similarity	2-4	2	4	37	211	0.17535545023696683	0.12998101885403485	0.232339453404815
mean similarity	5-9	5	9	21	164	0.12804878048780488	0.08529869321546447	0.1878248791294755
mean similarity	10-19	10	19	16	174	0.09195402298850575	0.05739413705063324	0.14414187743309137
mean similarity	20-43	20	43	13	164	0.07926829268292683	0.046907742092961745	0.13088777416606878
indications per target	0.0-0.2	0	0.2	12	70	0.17142857142857143	0.1008772464052925	0.2761664803214543
indications per target	0.2-0.4	0.2	0.4	41	378	0.10846560846560846	0.08096639411081684	0.14384276905814047
indications per target	0.4-0.6	0.4	0.6000000000000001	28	193	0.14507772020725387	0.10232033762370596	0.20168807188114646
indications per target	0.6-0.8	0.6000000000000001	0.8	6	55	0.10909090909090909	0.050967250007823345	0.21825549086553506
indications per target	0.8-1.0	0.8	1.01	29	101	0.2871287128712871	0.20797641855470367	0.38188049030860144
