data_subset	rs	rs_l95	rs_u95	approved	supported	x_yes	n_yes	x_no	n_no	n_total
OMIM orphan	2.6550582324731673	2.0885104185440624	3.3752928188587896	46	116	46	116	453	3033	3149
OMIM non-orphan	3.1753240901659394	2.600923862332619	3.876577559077632	64	162	64	162	959	7708	7870
OTG orphan	2.070023871774468	1.5599352893842167	2.746908066556825	36	114	36	114	463	3035	3149
OTG non-orphan	2.3158866995073892	1.9397558075527936	2.764951744993941	99	348	99	348	924	7522	7870
OMIM	3.1753240901659394	2.600923862332619	3.876577559077632	64	162	64	162	959	7708	7870
OMIM without GWAS	2.92215629085789	2.3000383020934856	3.712545734750669	45	122	45	122	978	7748	7870
GWAS	2.261820819731592	1.9001386998641718	2.6923473643987084	104	375	104	375	919	7495	7870
GWAS without OMIM	2.011110754001414	1.6538411342326782	2.4455592385157767	83	331	83	331	940	7539	7870
OMIM + GWAS	3.7276810016330972	2.721549595585054	5.105769768986767	21	44	21	44	1002	7826	7870
Genebass all	2.089858861823324	1.2269513750977497	3.5596439687705836	10	37	10	37	1013	7833	7870
missense/LC SKAT	2.5751312335958003	1.4025999906292166	4.727863193030379	7	21	7	21	1016	7849	7870
missense/LC burden	2.76477224650966	1.6764946531478093	4.559492963915905	10	28	10	28	1013	7842	7870
pLoF SKAT	2.945906638517476	1.7026592583230638	5.096948130073067	8	21	8	21	1015	7849	7870
pLoF burden	2.9016272189349115	1.725629972402108	4.8790532456642115	9	24	9	24	1014	7846	7870
