area	gene	indication_mesh_id	indication_mesh_term	gene_count
other	ACVR2A	D007676	Kidney Failure, Chronic	178
other	APOL1	D005923	Glomerulosclerosis, Focal Segmental	1
other	APOL1	D007676	Kidney Failure, Chronic	25
other	APOL1	D051437	Renal Insufficiency	25
other	DPEP1	D058186	Acute Kidney Injury	582
other	KCNJ1	D051437	Renal Insufficiency	178
other	NFE2L2	D007676	Kidney Failure, Chronic	582
other	NFE2L2	D051437	Renal Insufficiency	582
other	PGR	D008593	Menopause	93
other	SLC9A3	D007676	Kidney Failure, Chronic	582
ophthalmology	CD28	D012859	Sjogren's Syndrome	126
ophthalmology	CD40	D012859	Sjogren's Syndrome	126
ophthalmology	ICOSLG	D012859	Sjogren's Syndrome	126
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	126
ophthalmology	LOXL2	D005901	Glaucoma	265
ophthalmology	MAPT	D013494	Supranuclear Palsy, Progressive	7
ophthalmology	MC1R	D000417	Albinism	11
ophthalmology	TGFB2	D005901	Glaucoma	265
ophthalmology	VEGFA	D008269	Macular Edema	121
ophthalmology	VEGFA	D009216	Myopia	373
dermatology	C3	D008181	Lupus Nephritis	141
dermatology	CBS	D006712	Homocystinuria	5
dermatology	CD200R1	D003876	Dermatitis, Atopic	140
dermatology	CD28	D001172	Arthritis, Rheumatoid	126
dermatology	CD28	D011565	Psoriasis	117
dermatology	CD28	D012859	Sjogren's Syndrome	126
dermatology	CD40	D001172	Arthritis, Rheumatoid	126
dermatology	CD40	D008180	Lupus Erythematosus, Systemic	141
dermatology	CD40	D008181	Lupus Nephritis	141
dermatology	CD40	D012859	Sjogren's Syndrome	126
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	126
dermatology	ESR1	D006177	Gynecomastia	194
dermatology	GATA3	D003876	Dermatitis, Atopic	69
dermatology	HLA-DRB1	D001172	Arthritis, Rheumatoid	126
dermatology	ICOSLG	D012859	Sjogren's Syndrome	126
dermatology	IFNG	D011565	Psoriasis	117
dermatology	IL13	D003876	Dermatitis, Atopic	69
dermatology	IL1B	D000152	Acne Vulgaris	38
dermatology	IL2	D011565	Psoriasis	117
dermatology	IL23R	D011565	Psoriasis	117
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	126
dermatology	IL2RA	D012859	Sjogren's Syndrome	126
dermatology	IL33	D003876	Dermatitis, Atopic	140
dermatology	IL4R	D003876	Dermatitis, Atopic	140
dermatology	IL6R	D001172	Arthritis, Rheumatoid	126
dermatology	INPP5D	D003876	Dermatitis, Atopic	69
dermatology	JAK2	D011565	Psoriasis	117
dermatology	MAPK14	D017719	Diabetic Foot	1
dermatology	MC1R	D000417	Albinism	11
dermatology	MC1R	D010787	Photosensitivity Disorders	58
dermatology	NFKB1	D003876	Dermatitis, Atopic	140
dermatology	NFKB1	D008181	Lupus Nephritis	5
dermatology	PRKCB	D001172	Arthritis, Rheumatoid	126
dermatology	PRKCB	D008180	Lupus Erythematosus, Systemic	141
dermatology	SOAT1	D000152	Acne Vulgaris	38
dermatology	SOAT1	D012628	Dermatitis, Seborrheic	38
dermatology	STAT3	D011565	Psoriasis	117
dermatology	TNFRSF1A	D015535	Arthritis, Psoriatic	29
dermatology	TNFSF4	D003876	Dermatitis, Atopic	69
dermatology	TSLP	D003876	Dermatitis, Atopic	140
dermatology	TYK2	D011565	Psoriasis	117
dermatology	TYK2	D015535	Arthritis, Psoriatic	117
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	126
musculoskeletal	CD28	D012859	Sjogren's Syndrome	126
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	126
musculoskeletal	CD40	D012859	Sjogren's Syndrome	126
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	126
musculoskeletal	ESR1	D010024	Osteoporosis	70
musculoskeletal	HLA-DRB1	D001172	Arthritis, Rheumatoid	126
musculoskeletal	ICOSLG	D012859	Sjogren's Syndrome	126
