year	area	color	n_new_possible_gensup_ti	n_cumulative_possible_gensup_ti
2005	ophthalmology	#6A3D9A	4	4
2005	congenital	#8B7E66	2	2
2006	digestive	#FDBF6F	4	4
2006	ophthalmology	#6A3D9A	4	8
2006	cardiovascular	#B2DF8A	1	1
2006	congenital	#8B7E66	3	5
2006	signs/symptoms	#7B3F00	1	1
2007	oncology	#66A61E	21	21
2007	musculoskeletal	#A6CEE3	9	9
2007	digestive	#FDBF6F	21	25
2007	neurology	#B15928	21	21
2007	ophthalmology	#6A3D9A	10	18
2007	cardiovascular	#B2DF8A	2	3
2007	hematology	#CAB2D6	6	6
2007	congenital	#8B7E66	13	18
2007	dermatology	#FB9A99	26	26
2007	metabolic	#FFB90F	27	27
2007	endocrine	#33A02C	11	11
2007	immune	#FF7F00	15	15
2007	signs/symptoms	#7B3F00	7	8
2007	psychiatry	#9959E1	17	17
2008	infection	#EE7600	3	3
2008	oncology	#66A61E	69	90
2008	musculoskeletal	#A6CEE3	22	31
2008	digestive	#FDBF6F	65	90
2008	respiratory	#E31A1C	2	2
2008	neurology	#B15928	16	37
2008	ophthalmology	#6A3D9A	5	23
2008	cardiovascular	#B2DF8A	11	14
2008	hematology	#CAB2D6	24	30
2008	congenital	#8B7E66	61	79
2008	dermatology	#FB9A99	34	60
2008	metabolic	#FFB90F	202	229
2008	endocrine	#33A02C	10	21
2008	immune	#FF7F00	22	37
2008	signs/symptoms	#7B3F00	21	29
2008	psychiatry	#9959E1	9	26
2009	infection	#EE7600	15	18
2009	oncology	#66A61E	116	206
2009	musculoskeletal	#A6CEE3	46	77
2009	digestive	#FDBF6F	56	146
2009	respiratory	#E31A1C	3	5
2009	neurology	#B15928	127	164
2009	ophthalmology	#6A3D9A	15	38
2009	cardiovascular	#B2DF8A	42	56
2009	hematology	#CAB2D6	105	135
2009	congenital	#8B7E66	188	267
2009	dermatology	#FB9A99	95	155
2009	metabolic	#FFB90F	243	472
2009	endocrine	#33A02C	18	39
2009	immune	#FF7F00	59	96
2009	signs/symptoms	#7B3F00	43	72
2009	psychiatry	#9959E1	22	48
2009	other	#BBBBBB	8	8
2010	infection	#EE7600	13	31
2010	oncology	#66A61E	146	352
2010	musculoskeletal	#A6CEE3	49	126
2010	digestive	#FDBF6F	136	282
2010	respiratory	#E31A1C	19	24
2010	neurology	#B15928	46	210
2010	ophthalmology	#6A3D9A	60	98
2010	cardiovascular	#B2DF8A	113	169
2010	hematology	#CAB2D6	146	281
2010	congenital	#8B7E66	187	454
2010	dermatology	#FB9A99	116	271
2010	metabolic	#FFB90F	385	857
2010	endocrine	#33A02C	41	80
2010	immune	#FF7F00	47	143
2010	signs/symptoms	#7B3F00	136	208
2010	psychiatry	#9959E1	25	73
2010	other	#BBBBBB	33	41
2011	infection	#EE7600	42	73
2011	oncology	#66A61E	146	498
2011	musculoskeletal	#A6CEE3	32	158
2011	digestive	#FDBF6F	552	834
2011	respiratory	#E31A1C	28	52
2011	neurology	#B15928	113	323
2011	ophthalmology	#6A3D9A	99	197
2011	cardiovascular	#B2DF8A	70	239
2011	hematology	#CAB2D6	289	570
2011	congenital	#8B7E66	196	650
2011	dermatology	#FB9A99	79	350
2011	metabolic	#FFB90F	217	1074
2011	endocrine	#33A02C	66	146
2011	immune	#FF7F00	104	247
2011	signs/symptoms	#7B3F00	100	308
2011	psychiatry	#9959E1	48	121
2011	other	#BBBBBB	17	58
2012	infection	#EE7600	6	79
2012	oncology	#66A61E	158	656
2012	musculoskeletal	#A6CEE3	191	349
2012	digestive	#FDBF6F	374	1208
2012	respiratory	#E31A1C	6	58
2012	neurology	#B15928	97	420
2012	ophthalmology	#6A3D9A	115	312
2012	cardiovascular	#B2DF8A	47	286
2012	hematology	#CAB2D6	208	778
2012	congenital	#8B7E66	264	914
2012	dermatology	#FB9A99	463	813
2012	metabolic	#FFB90F	411	1485
2012	endocrine	#33A02C	30	176
2012	immune	#FF7F00	102	349
2012	signs/symptoms	#7B3F00	118	426
2012	psychiatry	#9959E1	11	132
2012	other	#BBBBBB	23	81
2013	infection	#EE7600	70	149
2013	oncology	#66A61E	302	958
2013	musculoskeletal	#A6CEE3	138	487
2013	digestive	#FDBF6F	57	1265
2013	respiratory	#E31A1C	53	111
2013	neurology	#B15928	198	618
2013	ophthalmology	#6A3D9A	333	645
2013	cardiovascular	#B2DF8A	136	422
2013	hematology	#CAB2D6	40	818
2013	congenital	#8B7E66	226	1140
2013	dermatology	#FB9A99	155	968
2013	metabolic	#FFB90F	451	1936
2013	endocrine	#33A02C	17	193
2013	immune	#FF7F00	198	547
2013	signs/symptoms	#7B3F00	130	556
2013	psychiatry	#9959E1	109	241
2013	other	#BBBBBB	33	114
2014	infection	#EE7600	14	163
2014	oncology	#66A61E	164	1122
2014	musculoskeletal	#A6CEE3	30	517
2014	digestive	#FDBF6F	40	1305
2014	respiratory	#E31A1C	49	160
2014	neurology	#B15928	215	833
2014	ophthalmology	#6A3D9A	107	752
2014	cardiovascular	#B2DF8A	76	498
2014	hematology	#CAB2D6	22	840
2014	congenital	#8B7E66	139	1279
2014	dermatology	#FB9A99	55	1023
2014	metabolic	#FFB90F	117	2053
2014	endocrine	#33A02C	124	317
2014	immune	#FF7F00	69	616
2014	signs/symptoms	#7B3F00	158	714
2014	psychiatry	#9959E1	140	381
2014	other	#BBBBBB	51	165
2015	infection	#EE7600	70	233
2015	oncology	#66A61E	189	1311
2015	musculoskeletal	#A6CEE3	53	570
2015	digestive	#FDBF6F	287	1592
2015	respiratory	#E31A1C	142	302
2015	neurology	#B15928	142	975
2015	ophthalmology	#6A3D9A	112	864
2015	cardiovascular	#B2DF8A	86	584
2015	hematology	#CAB2D6	24	864
2015	congenital	#8B7E66	135	1414
2015	dermatology	#FB9A99	263	1286
2015	metabolic	#FFB90F	381	2434
2015	endocrine	#33A02C	29	346
2015	immune	#FF7F00	173	789
2015	signs/symptoms	#7B3F00	201	915
2015	psychiatry	#9959E1	67	448
2015	other	#BBBBBB	16	181
