bin_n_possible_gensup_ti	n_targets	n_developed_gensup_ti_mean	n_developed_gensup_ti_sd	n_developed_gensup_ti_l95	n_developed_gensup_ti_u95	n_developed_nosup_ti_mean	n_developed_nosup_ti_sd	n_developed_nosup_ti_l95	n_developed_nosup_ti_u95
1	256	0.171875	0.37801078934700405	0.12556867830499202	0.21818132169500798	6.6171875	7.6922380982900105	5.6748883329594735	7.5594866670405265
2	157	0.19745222929936307	0.4302576813757296	0.13014915885966896	0.2647552997390572	7.10828025477707	8.563922251586021	5.768668465173189	8.447892044380952
3	125	0.392	0.6076926217921731	0.28546678627861427	0.49853321372138576	7.168	8.603952580064584	5.659660609014006	8.676339390985994
4	93	0.34408602150537637	0.683574741562675	0.20515456010466404	0.4830174829060887	8.408602150537634	9.310158732990194	6.516381914766478	10.300822386308791
5	64	0.484375	0.8727294804415318	0.27055627729182474	0.6981937227081753	7.328125	8.59504229100282	5.222339638704309	9.433910361295691
6	44	0.6363636363636364	1.1225160503521086	0.30468133918488716	0.9680459335423856	7.681818181818182	9.062503189472356	5.004019610358062	10.359616753278301
7	29	0.7931034482758621	1.0481040823733514	0.41163248591456864	1.1745744106371556	6.482758620689655	6.533543611106197	4.104791383586246	8.860725857793064
8	35	0.9142857142857143	1.2216533775134075	0.5095513787606181	1.3190200498108104	7.542857142857143	8.839559668108498	4.614306889193175	10.47140739652111
9	37	0.8378378378378378	1.364500590641815	0.3981657078908483	1.2775099677848274	11.35135135135135	16.993816222078834	5.875569643719649	16.82713305898305
10+	132	1.7121212121212122	2.120529614928989	1.3503671238647648	2.0738753003776598	9.295454545454545	10.160346988998427	7.562138945663994	11.028770145245096
