area	color	rs	rs_l95	rs_u95	nosup_clinical	nosup_launched	gensup_clinical	gensup_launched	ps	ps_l95	ps_u95	pg	pg_l95	pg_u95	possible_supported_gene_indication_pairs	mean_similarity_of_launched_indications	mean_launched_indications_per_target	mean_similarity_since_2000_only	mean_indications_per_target_since_2000_only	n_launched_ti	n_gensup_ti
metabolic	#FFB90F	3.057147943742211	2.1428268032704136	4.361600076899819	324	41	137	53	0.16936936936936936	0.14046169403434264	0.20282253406414388	0.34234234234234234	0.30407118104609765	0.382780971316941	20087	0.5878939843371759	4.723404255319149	0.6568269750536884	3.8297872340425534	100	244
hematology	#CAB2D6	2.9319230769230766	2.1279061570323954	4.039733096586557	231	50	52	33	0.226775956284153	0.18684285523546992	0.27238488889647267	0.23224043715846995	0.19189681903245753	0.27814637021684624	27095	0.43003538295878563	9.662650602409638	0.4442479104255045	8.349397590361447	84	90
respiratory	#E31A1C	2.5889046941678524	1.5320282779398586	4.3748719341507165	455	57	37	12	0.12299465240641712	0.09835254520571846	0.15276474904679305	0.0873440285204991	0.06669809803695784	0.11360286470278884	4598	0.3949406527731557	13.289855072463768	0.4334346380208535	10.405797101449275	75	59
cardiovascular	#B2DF8A	2.428571428571429	1.608620796976003	3.6664695587430325	546	91	42	17	0.15517241379310345	0.1301735031599299	0.18395687029801003	0.08477011494252873	0.06628740723648076	0.10781125080245522	5544	0.37575721704911264	10.5	0.3860746182658485	8.203703703703704	126	94
endocrine	#33A02C	2.3840531561461793	1.430129603736161	3.974261798708367	276	43	35	13	0.15258855585831063	0.11941240050372483	0.19296221691116547	0.1307901907356948	0.10008571541123377	0.1691437799591006	4292	0.5331362934264865	8.446428571428571	0.5369291836754118	6.982142857142857	56	71
infection	#EE7600	2.1627906976744184	0.6749626810433008	6.930255158280242	279	43	6	2	0.13636363636363635	0.10349861807462392	0.17759726244360818	0.024242424242424242	0.01233411425484511	0.04709966275650851	1318	0.2954051476552079	17.466666666666665	0.3383487114231944	14.044444444444444	76	10
congenital	#8B7E66	2.1169154228855724	1.5739077176573493	2.847264078684961	296	67	96	46	0.22376237623762377	0.18957620920823426	0.2621194119649725	0.2811881188118812	0.24374234690945	0.32193769710230175	19879	0.5075678424469742	6.433628318584071	0.5713554696664104	5.3628318584070795	117	172
digestive	#FDBF6F	2.0549999999999997	1.1319711775366947	3.730682444750766	411	50	40	10	0.11741682974559686	0.09231829750339443	0.14822460497452136	0.09784735812133072	0.07500908287336869	0.12668690924536122	5342	0.3550324180406228	14.683333333333334	0.403564533867835	11.166666666666666	70	83
oncology	#66A61E	2.0240205890763514	1.3364670311100366	3.065290238848912	3539	538	52	16	0.1336550060313631	0.12363430725532903	0.1443541106816472	0.016405307599517492	0.012961909241002585	0.0207442374528853	11327	0.46927006967372187	14.276173285198556	0.4911887469193959	12.673285198555957	615	84
neurology	#B15928	1.9400716845878134	1.4366209606718647	2.619952126815095	796	155	90	34	0.1758139534883721	0.15422419691197553	0.1997123854270955	0.11534883720930232	0.09760761935088584	0.13582932985200044	12208	0.464283199046151	9.010582010582011	0.5004276983969067	7.164021164021164	222	156
immune	#FF7F00	1.6701030927835052	1.0641358170122328	2.6211356632618314	648	97	68	17	0.13734939759036144	0.11559698623277835	0.16244322916810677	0.10240963855421686	0.08358135591594401	0.12490127226442843	8632	0.4029230438582538	11.543859649122806	0.4291590164056699	9.37719298245614	140	128
psychiatry	#9959E1	1.6498211091234347	1.0994527338061704	2.475695051197302	434	104	43	17	0.20234113712374582	0.1720883604346711	0.23639373267739106	0.10033444816053512	0.07874688260839442	0.12702401769375649	7600	0.3695424716455503	11.702479338842975	0.38712773923191496	8.512396694214877	126	68
signs/symptoms	#7B3F00	1.389096340552651	0.876748108447221	2.2008472270949024	496	103	52	15	0.17717717717717718	0.15005458875761327	0.20800246438889236	0.1006006006006006	0.07999702861161856	0.12578518597894187	10551	0.3815305143449602	11.35593220338983	0.4148504514158187	8.26271186440678	213	115
musculoskeletal	#A6CEE3	1.2481481481481482	0.6662411543654025	2.338303164729494	337	72	30	8	0.1789709172259508	0.1462167399323751	0.21719584250684584	0.08501118568232663	0.06256109998920271	0.11453321389564386	3167	0.36129377140417324	12.8	0.3782520250191845	9.925	92	53
dermatology	#FB9A99	1.2185858585858587	0.7401554951616314	2.006269634492355	696	135	55	13	0.1646273637374861	0.14182240680898864	0.19028624404135208	0.07563959955506118	0.06010298469318457	0.09478739772606906	8517	0.40066056974713066	10.006756756756756	0.45145351328685307	8.14864864864865	153	89
ophthalmology	#6A3D9A	1.0175438596491229	0.47942619959024607	2.1596556616942526	290	57	30	6	0.16449086161879894	0.13072998888846374	0.20491515942765115	0.09399477806788512	0.06866808860221402	0.12738498971028298	7663	0.36384089704890676	15.53968253968254	0.41923915488754426	11.904761904761905	64	52
other	#BBBBBB	0.6107142857142858	0.09535409283833078	3.9114413201735343	171	35	8	1	0.16744186046511628	0.1234684073369929	0.22309050900999675	0.04186046511627907	0.02217672090826227	0.0776282197935347	3224	0.3271167224066737	11	0.33187049726977264	8.083333333333334	75	24
