gene	gensup_omim	gensup_estab	gensup_novel
ABCA1	FALSE	FALSE	FALSE
ABCC8	TRUE	TRUE	FALSE
ABCC9	FALSE	FALSE	FALSE
ACACA	FALSE	FALSE	FALSE
ACACB	FALSE	FALSE	FALSE
ACE	FALSE	TRUE	FALSE
ACHE	FALSE	FALSE	FALSE
ACLY	FALSE	FALSE	FALSE
ACVR2B	FALSE	FALSE	FALSE
ADAM17	FALSE	FALSE	FALSE
ADH5	FALSE	FALSE	FALSE
ADIPOQ	FALSE	FALSE	FALSE
ADIPOR1	FALSE	FALSE	FALSE
ADIPOR2	FALSE	FALSE	FALSE
ADORA1	FALSE	FALSE	FALSE
ADORA2B	FALSE	FALSE	FALSE
ADRB3	FALSE	FALSE	FALSE
AGTR1	FALSE	FALSE	FALSE
AKR1B1	FALSE	FALSE	FALSE
ALB	FALSE	FALSE	FALSE
ALOX12	FALSE	FALSE	FALSE
ALOX15	FALSE	FALSE	FALSE
ALOX5	FALSE	FALSE	FALSE
ANGPTL3	FALSE	FALSE	FALSE
APCS	FALSE	FALSE	FALSE
APH1A	FALSE	FALSE	FALSE
APLN	FALSE	FALSE	FALSE
APOA4	FALSE	FALSE	FALSE
APOC3	FALSE	FALSE	FALSE
AR	FALSE	FALSE	FALSE
ATP2A2	FALSE	FALSE	FALSE
AVPR2	FALSE	FALSE	FALSE
BACE2	FALSE	FALSE	FALSE
BCAT2	FALSE	FALSE	FALSE
BDKRB2	FALSE	FALSE	FALSE
BGLAP	FALSE	FALSE	FALSE
BIRC2	FALSE	FALSE	FALSE
BIRC3	FALSE	FALSE	FALSE
BMP4	FALSE	FALSE	FALSE
BMP7	FALSE	FALSE	FALSE
BRD4	FALSE	FALSE	FALSE
CACNA1G	FALSE	FALSE	FALSE
CACNB3	FALSE	FALSE	FALSE
CALCA	FALSE	FALSE	FALSE
CALCR	FALSE	FALSE	TRUE
CALCRL	FALSE	FALSE	FALSE
CBL	FALSE	FALSE	FALSE
CCKAR	FALSE	FALSE	FALSE
CCKBR	FALSE	FALSE	FALSE
CCR2	FALSE	FALSE	FALSE
CCR5	FALSE	FALSE	FALSE
CD28	FALSE	FALSE	FALSE
CD3E	FALSE	FALSE	FALSE
CD80	FALSE	FALSE	FALSE
CD86	FALSE	FALSE	FALSE
CDK5	FALSE	FALSE	FALSE
