"Gene"	"MSH"	"MSH.Top"	"Phase.Latest"	"lApprovedUS.EU"
"A2M"	"alzheimer disease"	"Nervous System Diseases"	"No Development Reported"	FALSE
"A2M"	"brain ischemia"	"Nervous System Diseases"	"Discontinued"	FALSE
"A2M"	"coronary restenosis"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"A2M"	"peripheral vascular diseases"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"A2M"	"thrombosis"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"AADAT"	"schizophrenia"	"Mental Disorders"	"Preclinical"	FALSE
"AAMP"	"inflammation"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"AAMP"	"neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"AAMP"	"thrombosis"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCA1"	"alzheimer disease"	"Nervous System Diseases"	"Preclinical"	FALSE
"ABCA1"	"atherosclerosis"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCA1"	"cholelithiasis"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ABCA1"	"diabetes mellitus, type 2"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ABCA1"	"fatty liver"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ABCA1"	"hyperlipidemias"	"Nutritional and Metabolic Diseases"	"Discontinued"	FALSE
"ABCA4"	"macular degeneration"	"Eye Diseases"	"Phase II Clinical Trial"	FALSE
"ABCB1"	"alzheimer disease"	"Nervous System Diseases"	"Discontinued"	FALSE
"ABCB1"	"breast neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"carcinoma, non-small-cell lung"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"colorectal neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABCB1"	"coronary restenosis"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCB1"	"diabetic neuropathies"	"Nervous System Diseases"	"Discontinued"	FALSE
"ABCB1"	"infection"	"Bacterial Infections and Mycoses"	"No Development Reported"	FALSE
"ABCB1"	"inflammatory bowel diseases"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ABCB1"	"leukemia"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"leukemia, myeloid, acute"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"liver neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"lung neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"lymphoma"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"lymphoma, non-hodgkin"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"macular degeneration"	"Eye Diseases"	"No Development Reported"	FALSE
"ABCB1"	"melanoma"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"multiple myeloma"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABCB1"	"osteosarcoma"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"ovarian neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"pancreatic neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABCB1"	"prostatic neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"radiation injuries"	"Wounds and Injuries"	"No Development Reported"	FALSE
"ABCB1"	"sarcoma"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"sarcoma, ewing"	"Neoplasms"	"No Development Reported"	FALSE
"ABCB1"	"small cell lung carcinoma"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"soft tissue neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"stomach neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABCB1"	"urinary bladder neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCB1"	"wounds and injuries"	"Wounds and Injuries"	"No Development Reported"	FALSE
"ABCC1"	"asthma"	"Respiratory Tract Diseases"	"Discontinued"	FALSE
"ABCC1"	"breast neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCC1"	"carcinoma, non-small-cell lung"	"Neoplasms"	"Preclinical"	FALSE
"ABCC1"	"colorectal neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABCC1"	"crohn disease"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ABCC1"	"diarrhea"	"Pathological Conditions, Signs and Symptoms"	"Preclinical"	FALSE
"ABCC1"	"fever"	"Pathological Conditions, Signs and Symptoms"	"Preclinical"	FALSE
"ABCC1"	"head and neck neoplasms"	"Neoplasms"	"Preclinical"	FALSE
"ABCC1"	"infection"	"Bacterial Infections and Mycoses"	"Preclinical"	FALSE
"ABCC1"	"inflammation"	"Pathological Conditions, Signs and Symptoms"	"Preclinical"	FALSE
"ABCC1"	"inflammatory bowel diseases"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ABCC1"	"liver diseases"	"Digestive System Diseases"	"Preclinical"	FALSE
"ABCC1"	"liver neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABCC1"	"lung neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ABCC1"	"macular degeneration"	"Eye Diseases"	"No Development Reported"	FALSE
"ABCC1"	"melanoma"	"Neoplasms"	"Preclinical"	FALSE
"ABCC1"	"nausea"	"Pathological Conditions, Signs and Symptoms"	"Preclinical"	FALSE
"ABCC1"	"neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCC1"	"ovarian neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCC1"	"pain"	"Nervous System Diseases"	"Preclinical"	FALSE
"ABCC1"	"prostatic neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCC1"	"radiation injuries"	"Wounds and Injuries"	"No Development Reported"	FALSE
"ABCC1"	"small cell lung carcinoma"	"Neoplasms"	"Discontinued"	FALSE
"ABCC1"	"soft tissue neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABCC1"	"urinary bladder neoplasms"	"Neoplasms"	"Preclinical"	FALSE
"ABCC8"	"angina pectoris"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCC8"	"brain ischemia"	"Nervous System Diseases"	"Phase II Clinical Trial"	FALSE
"ABCC8"	"craniocerebral trauma"	"Nervous System Diseases"	"Phase II Clinical Trial"	FALSE
"ABCC8"	"diabetes mellitus, type 2"	"Nutritional and Metabolic Diseases"	"Launched"	TRUE
"ABCC8"	"glucose intolerance"	"Nutritional and Metabolic Diseases"	"Phase III Clinical Trial"	FALSE
"ABCC8"	"hypertension"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCC8"	"myocardial infarction"	"Cardiovascular Diseases"	"Preclinical"	FALSE
"ABCC8"	"spinal cord injuries"	"Nervous System Diseases"	"Phase I Clinical Trial"	FALSE
"ABCC9"	"angina pectoris"	"Cardiovascular Diseases"	"Launched"	TRUE
"ABCC9"	"angina, unstable"	"Cardiovascular Diseases"	"Launched"	TRUE
"ABCC9"	"arrhythmias, cardiac"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCC9"	"asthma"	"Respiratory Tract Diseases"	"Discontinued"	FALSE
"ABCC9"	"atherosclerosis"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"ABCC9"	"brain ischemia"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ABCC9"	"cardiovascular diseases"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"ABCC9"	"epilepsy"	"Nervous System Diseases"	"Discontinued"	FALSE
"ABCC9"	"hyperlipidemias"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ABCC9"	"hypertension"	"Cardiovascular Diseases"	"Launched"	TRUE
"ABCC9"	"inflammatory bowel diseases"	"Digestive System Diseases"	"Discontinued"	FALSE
"ABCC9"	"ischemia"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"ABCC9"	"myocardial infarction"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ABCC9"	"nervous system diseases"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ABCC9"	"pulmonary disease, chronic obstructive"	"Respiratory Tract Diseases"	"Discontinued"	FALSE
"ABCC9"	"skin diseases"	"Skin and Connective Tissue Diseases"	"Discontinued"	FALSE
"ABCC9"	"substance-related disorders"	"Substance-Related Disorders"	"Discontinued"	FALSE
"ABCC9"	"urinary incontinence"	"Male Urogenital Diseases"	"No Development Reported"	FALSE
"ABCC9"	"urogenital abnormalities"	"Male Urogenital Diseases"	"Discontinued"	FALSE
"ABCD1"	"adrenoleukodystrophy"	"Nervous System Diseases"	"Phase II Clinical Trial"	FALSE
"ABCG2"	"neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ABCG4"	"alzheimer disease"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ABCG5"	"hyperlipidemias"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ABCG8"	"hyperlipidemias"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ABL1"	"biliary tract neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"bone neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"brain neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"breast neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"carcinoma, non-small-cell lung"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"colorectal neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"endometrial neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"fibrosarcoma"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"gastrointestinal neoplasms"	"Neoplasms"	"Launched"	TRUE
"ABL1"	"head and neck neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"hematologic neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABL1"	"hypereosinophilic syndrome"	"Hemic and Lymphatic Diseases"	"Launched"	TRUE
"ABL1"	"hypertension, pulmonary"	"Respiratory Tract Diseases"	"Phase II Clinical Trial"	FALSE
"ABL1"	"kidney neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABL1"	"leiomyosarcoma"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"leukemia"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"leukemia, lymphoid"	"Neoplasms"	"Launched"	TRUE
"ABL1"	"leukemia, myeloid, acute"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABL1"	"leukemia, myelomonocytic, chronic"	"Neoplasms"	"Launched"	TRUE
"ABL1"	"liposarcoma"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"mastocytosis"	"Neoplasms"	"Launched"	TRUE
"ABL1"	"melanoma"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"myelodysplastic syndromes"	"Hemic and Lymphatic Diseases"	"Discontinued"	FALSE
"ABL1"	"neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABL1"	"ocular motility disorders"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ABL1"	"ovarian neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ABL1"	"pancreatic neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"polycystic kidney diseases"	"Male Urogenital Diseases"	"Phase II Clinical Trial"	FALSE
"ABL1"	"prostatic neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ABL1"	"rhabdomyosarcoma"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"sarcoma"	"Neoplasms"	"Launched"	TRUE
"ABL1"	"scleroderma, systemic"	"Skin and Connective Tissue Diseases"	"No Development Reported"	FALSE
"ABL1"	"small cell lung carcinoma"	"Neoplasms"	"Discontinued"	FALSE
"ABL1"	"soft tissue neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACACA"	"diabetes mellitus, type 2"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACACA"	"metabolic diseases"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACACA"	"obesity"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACACB"	"diabetes mellitus, type 2"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACACB"	"metabolic diseases"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACACB"	"obesity"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACE"	"acute coronary syndrome"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ACE"	"anemia, sickle cell"	"Hemic and Lymphatic Diseases"	"Discontinued"	FALSE
"ACE"	"angina pectoris"	"Cardiovascular Diseases"	"Launched"	FALSE
"ACE"	"atherosclerosis"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"ACE"	"brain ischemia"	"Nervous System Diseases"	"No Development Reported"	FALSE
