ti_uid	phasenum	phase	maxphasenum	maxphase	n_drugs
A2M-D002545	5	Phase III	5	Phase III	1
A2M-D007511	5	Phase III	5	Phase III	1
A2M-D010003	2	Preclinical	2	Preclinical	1
A2M-D016491	5	Phase III	5	Phase III	1
A2M-D020521	5	Phase III	5	Phase III	1
A2M-D023903	5	Phase III	5	Phase III	1
AADAT-D012559	2	Preclinical	2	Preclinical	3
AAK1-D009437	2	Preclinical	2	Preclinical	1
AAK1-D009437	4	Phase II	4	Phase II	1
AAK1-D051474	4	Phase II	4	Phase II	1
ABAT-D000544	4	Phase II	4	Phase II	1
ABAT-D000690	2	Preclinical	2	Preclinical	1
ABAT-D004827	2	Preclinical	2	Preclinical	2
ABAT-D004827	2	Preclinical	4	Phase II	1
ABAT-D004828	2	Preclinical	4	Phase II	1
ABAT-D005600	2	Preclinical	2	Preclinical	1
ABAT-D005879	4	Phase II	4	Phase II	1
ABAT-D009103	2	Preclinical	4	Phase II	1
ABAT-D009293	2	Preclinical	4	Phase II	1
ABAT-D009437	2	Preclinical	2	Preclinical	1
ABAT-D009437	2	Preclinical	4	Phase II	1
ABAT-D010300	2	Preclinical	4	Phase II	1
ABAT-D013036	2	Preclinical	2	Preclinical	1
ABAT-D013036	2	Preclinical	4	Phase II	1
ABAT-D013036	6	Launched	6	Launched	1
ABAT-D013313	2	Preclinical	4	Phase II	1
ABAT-D014402	2	Preclinical	2	Preclinical	1
ABAT-D019970	2	Preclinical	4	Phase II	1
ABAT-D020820	2	Preclinical	4	Phase II	1
ABCA1-D000070642	2	Preclinical	2	Preclinical	1
ABCA1-D000544	2	Preclinical	2	Preclinical	3
ABCA1-D002545	2	Preclinical	2	Preclinical	1
ABCA1-D003920	2	Preclinical	2	Preclinical	1
ABCA1-D003924	2	Preclinical	5	Phase III	1
ABCA1-D006333	2	Preclinical	5	Phase III	1
ABCA1-D006949	2	Preclinical	2	Preclinical	1
ABCA1-D006949	3	Phase I	3	Phase I	1
ABCA1-D008060	4	Phase II	5	Phase III	1
ABCA1-D008103	2	Preclinical	5	Phase III	1
ABCA1-D008103	5	Phase III	5	Phase III	1
ABCA1-D009203	2	Preclinical	2	Preclinical	1
ABCA1-D020521	2	Preclinical	2	Preclinical	1
ABCA1-D020961	2	Preclinical	2	Preclinical	1
ABCA1-D042882	4	Phase II	5	Phase III	1
ABCA1-D050197	2	Preclinical	2	Preclinical	4
