Gene	MSH.Ind	Category	MSH.Trt	pvalue	eCat	Rank	RelSim	LatestPhase
ABCC8	"diabetes mellitus, type 2"	Diabetes	"diabetes mellitus, type 2"	5.00E-11	0	3	1	Approved US/EU
ABCC8	"diabetes mellitus, type 2"	Diabetes	"diabetes mellitus, type 2"	0		1	1	Approved US/EU
ADORA1	asthma	Respiratory	asthma	9.74E-13	2	1	1	Approved US/EU
ADORA1	hypersensitivity	Inflammation	asthma	9.74E-13	2	1	0.708925055	Approved US/EU
ADORA1	"pulmonary disease, chronic obstructive"	Respiratory	asthma	9.74E-13	2	1	0.716998335	Approved US/EU
ADRA2A	attention deficit disorder with hyperactivity	Neurological/behavioral	attention deficit disorder with hyperactivity	1.00E-08	9	1	1	Approved US/EU
ADRB2	asthma	Respiratory	asthma	0		1	1	Approved US/EU
ADRB2	"pulmonary disease, chronic obstructive"	Respiratory	asthma	0		1	0.716998335	Approved US/EU
ALOX5	asthma	Respiratory	asthma	0		1	1	Approved US/EU
ALOX5	"pulmonary disease, chronic obstructive"	Respiratory	asthma	0		1	0.716998335	Approved US/EU
APOB	hypercholesterolemia	Cardiovascular	cholesterol	1.10E-100	0	1	0.9	Approved US/EU
APOB	hypercholesterolemia	Cardiovascular	"cholesterol, ldl"	1.20E-118	0	1	0.9	Approved US/EU
APOB	hypercholesterolemia	Cardiovascular	dyslipidemias	5.40E-14	0	1	0.769796231	Approved US/EU
APOB	hypercholesterolemia	Cardiovascular	hyperlipoproteinemia type ii	0		1	0.735367931	Approved US/EU
APOB	hypercholesterolemia	Cardiovascular	hyperlipoproteinemia type ii	1.90E-09	0	1	0.735367931	Approved US/EU
AR	turner syndrome	Urogenital	androgen-insensitivity syndrome	0		1	0.773805106	Approved US/EU
ARSB	mucopolysaccharidosis vi	Metabolic	mucopolysaccharidosis vi	0		1	1	Approved US/EU
AVPR2	diabetes insipidus	Diabetes	"diabetes insipidus, nephrogenic"	0		1	0.717682774	Approved US/EU
CALCR	osteoporosis	Musculoskeletal	osteoporosis	0		1	1	Approved US/EU
CASR	hypercalcemia	Metabolic	hypocalcemia	6.00E-37	0	1	0.733946876	Approved US/EU
CD80	"arthritis, rheumatoid"	Autoimmune	"arthritis, rheumatoid"	8.03E-09	2b	4	1	Approved US/EU
CHRM4	psychotic disorders	Neurological/behavioral	schizophrenia	3.89E-09	9	7	0.750453586	Approved US/EU
CHRM4	schizophrenia	Neurological/behavioral	schizophrenia	3.89E-09	9	7	1	Approved US/EU
CRHR2	sleep initiation and maintenance disorders	Neurological/behavioral	narcolepsy	1.13E-30	9	1	0.732465524	Approved US/EU
ERBB2	stomach neoplasms	Oncology	stomach neoplasms	0		1	1	Approved US/EU
ESR1	breast neoplasms	Oncology	breast neoplasms	0		1	1	Approved US/EU
ESR1	osteoporosis	Musculoskeletal	bone density	1.50E-10	2b	1	0.9	Approved US/EU
F10	thrombocytopenia	Blood	prothrombin time	4.00E-56	9	3	0.75	Approved US/EU
F10	thrombocytopenia	Blood	blood coagulation	1.93E-45	9	2	0.75	Approved US/EU
F10	thrombosis	Cardiovascular	prothrombin time	4.00E-56	9	3	0.75	Approved US/EU
F10	thrombosis	Cardiovascular	blood coagulation	1.93E-45	9	2	0.75	Approved US/EU
F10	venous thrombosis	Cardiovascular	blood coagulation	1.93E-45	9	2	0.75	Approved US/EU
F13A1	factor xiii deficiency	Blood	blood coagulation	2.59E-186	0	1	0.75	Approved US/EU
F2	antithrombin iii deficiency	Blood	thrombophilia	0		1	0.775976866	Approved US/EU
F2	disseminated intravascular coagulation	Blood	thrombophilia	0		1	0.821176866	Approved US/EU
F2	thrombocytopenia	Blood	blood coagulation	1.33E-10	9	3	0.75	Approved US/EU
F2	thrombosis	Cardiovascular	blood coagulation	1.33E-10	9	3	0.75	Approved US/EU
F2	venous thrombosis	Cardiovascular	blood coagulation	1.33E-10	9	3	0.75	Approved US/EU
F7	hemophilia a	Blood	factor vii deficiency	0		1	0.714049015	Approved US/EU
F8	hemophilia a	Blood	hemophilia a	0		1	1	Approved US/EU
F8	von willebrand diseases	Blood	hemophilia a	0		1	0.775349015	Approved US/EU
FGA	afibrinogenemia	Blood	fibrinogen	9.00E-90	0	1	0.75	Approved US/EU
FGB	afibrinogenemia	Blood	fibrinogen	1.00E-39	9	4	0.75	Approved US/EU
FGG	afibrinogenemia	Blood	fibrinogen	8.00E-39	1f	2	0.75	Approved US/EU
FSHR	polycystic ovary syndrome	Urogenital	polycystic ovary syndrome	9.89E-13	9	1	1	Approved US/EU
GAA	glycogen storage disease type ii	Metabolic	glycogen storage disease type ii	0		1	1	Approved US/EU
GBA	gaucher disease	Metabolic	gaucher disease	0		1	1	Approved US/EU
GHR	dwarfism	Musculoskeletal	laron syndrome	0		1	0.717911184	Approved US/EU
GLA	fabry disease	Metabolic	fabry disease	0		1	1	Approved US/EU
HMGCR	hypercholesterolemia	Cardiovascular	dyslipidemias	1.00E-20	9	2	0.769796231	Approved US/EU
HMGCR	hypercholesterolemia	Cardiovascular	"cholesterol, ldl"	1.00E-20	9	2	0.9	Approved US/EU
HMGCR	hypercholesterolemia	Cardiovascular	cholesterol	3.00E-19	9	2	0.9	Approved US/EU
HMGCR	hyperlipidemias	Cardiovascular	dyslipidemias	1.00E-20	9	2	0.793846231	Approved US/EU
HMGCR	hyperlipidemias	Cardiovascular	"cholesterol, ldl"	1.00E-20	9	2	0.9	Approved US/EU
HMGCR	hyperlipidemias	Cardiovascular	triglycerides	3.22E-09	9	2	0.9	Approved US/EU
HMGCR	hyperlipidemias	Cardiovascular	cholesterol	3.00E-19	9	2	0.9	Approved US/EU
HMGCR	hypertriglyceridemia	Cardiovascular	dyslipidemias	1.00E-20	9	2	0.745146231	Approved US/EU
HMGCR	hypertriglyceridemia	Cardiovascular	triglycerides	3.22E-09	9	2	0.9	Approved US/EU
IDS	mucopolysaccharidosis ii	Neurological/behavioral	mucopolysaccharidosis ii	0		1	1	Approved US/EU
IDUA	mucopolysaccharidosis i	Metabolic	mucopolysaccharidosis i	0		1	1	Approved US/EU
IFNAR2	hepatitis b	Infection	hepatitis b	0		1	1	Approved US/EU
IFNAR2	hepatitis c	Infection	hepatitis b	0		1	0.733336798	Approved US/EU
IL12B	"arthritis, psoriatic"	Autoimmune	psoriasis	2.00E-28	9	2	0.783734646	Approved US/EU
IL12B	psoriasis	Autoimmune	psoriasis	2.00E-28	9	2	1	Approved US/EU
KCNH2	atrial fibrillation	Cardiovascular	electrocardiography	5.00E-11	9	2	0.75	Approved US/EU
KCNJ11	"diabetes mellitus, type 2"	Diabetes	"diabetes mellitus, type 2"	5.00E-11	0	2	1	Approved US/EU
KCNJ11	"diabetes mellitus, type 2"	Diabetes	"diabetes mellitus, type 2"	0		1	1	Approved US/EU
LPL	hypercholesterolemia	Cardiovascular	dyslipidemias	4.00E-15	2	1	0.769796231	Approved US/EU
LPL	hyperlipidemias	Cardiovascular	hyperlipoproteinemia type i	0		1	0.703117931	Approved US/EU
LPL	hyperlipidemias	Cardiovascular	triglycerides	2.20E-121	2	1	0.9	Approved US/EU
LPL	hyperlipidemias	Cardiovascular	dyslipidemias	4.00E-15	2	1	0.793846231	Approved US/EU
LPL	hyperlipidemias	Cardiovascular	"cholesterol, hdl"	8.00E-43	2	1	0.75	Approved US/EU
MTTP	hypercholesterolemia	Cardiovascular	abetalipoproteinemia	0		1	0.739646231	Approved US/EU
PPARG	"diabetes mellitus, type 2"	Diabetes	"diabetes mellitus, type 2"	0		1	1	Approved US/EU
SCN5A	"arrhythmias, cardiac"	Cardiovascular	electrocardiography	5.00E-10	9	1	0.75	Approved US/EU
SCN5A	atrial fibrillation	Cardiovascular	electrocardiography	5.00E-10	9	1	0.75	Approved US/EU
SERPINC1	antithrombin iii deficiency	Blood	antithrombin iii deficiency	0		1	1	Approved US/EU
SERPINC1	disseminated intravascular coagulation	Blood	antithrombin iii deficiency	0		1	0.756326866	Approved US/EU
SLC22A12	hyperuricemia	Metabolic	hyperuricemia	2.00E-09	9	25	1	Approved US/EU
SLC6A3	attention deficit disorder with hyperactivity	Neurological/behavioral	attention deficit disorder with hyperactivity	1.00E-08	9	1	1	Approved US/EU
TNFSF11	osteoporosis	Musculoskeletal	bone density	1.20E-10	2b	4	0.9	Approved US/EU
VDR	osteoporosis	Musculoskeletal	osteoporosis	0		1	1	Approved US/EU
VDR	renal osteodystrophy	Liver & kidney	osteoporosis	0		1	0.707263798	Approved US/EU
VWF	von willebrand diseases	Blood	"von willebrand disease, type 2"	0		1	0.7402438	Approved US/EU
VWF	von willebrand diseases	Blood	"von willebrand disease, type 3"	0		1	0.7522438	Approved US/EU
VWF	von willebrand diseases	Blood	"von willebrand disease, type 1"	0		1	0.7529438	Approved US/EU
